Alternative,Expression,Segment,Coefficient,Description
w_lb,w_lb_skim.[Initial Wait Time],,-0.0437,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
w_lb,w_lb_skim.[Egress Walk Time],,-0.051437,Egress walk time
w_lb,w_lb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
w_eb,Constant,,6.328,Constant
w_eb,Constant,v0,0.3492,Zero-vehicle households
w_eb,w_eb_skim.[In-Vehicle Time],,-0.022449,IVTT
w_eb,w_eb_skim.Fare,,-0.1132,Transit fare
w_eb,w_eb_skim.[Access Walk Time],,-0.1138,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.0437,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.051437,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
knr_lb,Constant,,1.044,Constant
knr_lb,knr_lb_skim.[In-Vehicle Time],,-0.022449,IVTT
knr_lb,knr_lb_skim.Fare,,-0.1132,Transit fare
knr_lb,knr_lb_skim.[Access Walk Time],,-0.1138,Access walk time
knr_lb,knr_lb_skim.[Initial Wait Time],,-0.0437,Initial wait time
knr_lb,knr_lb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
knr_lb,knr_lb_skim.[Egress Walk Time],,-0.051437,Egress walk time
knr_lb,knr_lb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
knr_eb,knr_eb_skim.[In-Vehicle Time],,-0.022449,IVTT
knr_eb,knr_eb_skim.Fare,,-0.1132,Transit fare
knr_eb,knr_eb_skim.[Access Walk Time],,-0.1138,Access walk time
knr_eb,knr_eb_skim.[Initial Wait Time],,-0.0437,Initial wait time
knr_eb,knr_eb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
knr_eb,knr_eb_skim.[Egress Walk Time],,-0.051437,Egress walk time
knr_eb,knr_eb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
pnr_lb,Constant,,2.667,Constant
pnr_lb,Constant,v0,-99,Auto Availability
pnr_lb,Constant,ilvi,-2.037,Vehicle insufficient households
pnr_lb,Constant,ihvi,-2.037,Vehicle insufficient households
pnr_lb,pnr_lb_skim.[In-Vehicle Time],,-0.022449,IVTT
pnr_lb,pnr_lb_skim.Fare,,-0.1132,Transit fare
pnr_lb,pnr_lb_skim.[Access Walk Time],,-0.1138,Access walk time
pnr_lb,pnr_lb_skim.[Initial Wait Time],,-0.0437,Initial wait time
pnr_lb,pnr_lb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
pnr_lb,pnr_lb_skim.[Egress Walk Time],,-0.051437,Egress walk time
pnr_lb,pnr_lb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
pnr_eb,Constant,,3.518,Constant
pnr_eb,Constant,v0,-99,Auto Availability
pnr_eb,Constant,ilvi,-2.037,Vehicle insufficient households
pnr_eb,Constant,ihvi,-2.037,Vehicle insufficient households
pnr_eb,pnr_eb_skim.[In-Vehicle Time],,-0.022449,IVTT
pnr_eb,pnr_eb_skim.Fare,,-0.1132,Transit fare
pnr_eb,pnr_eb_skim.[Access Walk Time],,-0.1138,Access walk time
pnr_eb,pnr_eb_skim.[Initial Wait Time],,-0.0437,Initial wait time
pnr_eb,pnr_eb_skim.[Transfer Wait Time],,-0.03,Transfer wait time
pnr_eb,pnr_eb_skim.[Egress Walk Time],,-0.051437,Egress walk time
pnr_eb,pnr_eb_skim.[Number of Transfers] > 1,,-0.3324,High transfers
walk,Constant,v0,0.708158,Additional Calibration Constant
pnr,Constant,v0,0.708158,Additional Calibration Constant
knr,Constant,v0,0.708158,Additional Calibration Constant
auto_pay,Constant,v0,0.979755,Additional Calibration Constant
other_auto,Constant,v0,-1.72706,Additional Calibration Constant
sov,Constant,ilvi,0.04414,Additional Calibration Constant
hov2,Constant,ilvi,-0.150965,Additional Calibration Constant
hov3,Constant,ilvi,0.240036,Additional Calibration Constant
walk,Constant,ilvi,-0.910546,Additional Calibration Constant
pnr,Constant,ilvi,-0.910546,Additional Calibration Constant
knr,Constant,ilvi,-0.910546,Additional Calibration Constant
auto_pay,Constant,ilvi,1.126962,Additional Calibration Constant
other_auto,Constant,ilvi,-0.115546,Additional Calibration Constant
sov,Constant,ilvs,-0.003452,Additional Calibration Constant
hov2,Constant,ilvs,0.170892,Additional Calibration Constant
hov3,Constant,ilvs,-0.09607,Additional Calibration Constant
walk,Constant,ilvs,0.167134,Additional Calibration Constant
pnr,Constant,ilvs,0.167134,Additional Calibration Constant
knr,Constant,ilvs,0.167134,Additional Calibration Constant
auto_pay,Constant,ilvs,0.222844,Additional Calibration Constant
other_auto,Constant,ilvs,-0.544903,Additional Calibration Constant
sov,Constant,ihvi,0.055297,Additional Calibration Constant
hov2,Constant,ihvi,-0.455474,Additional Calibration Constant
hov3,Constant,ihvi,0.064949,Additional Calibration Constant
walk,Constant,ihvi,0.129992,Additional Calibration Constant
pnr,Constant,ihvi,0.129992,Additional Calibration Constant
knr,Constant,ihvi,0.129992,Additional Calibration Constant
auto_pay,Constant,ihvi,1.13319,Additional Calibration Constant
other_auto,Constant,ihvi,-0.218748,Additional Calibration Constant
sov,Constant,ihvs,0.009191,Additional Calibration Constant
hov2,Constant,ihvs,-0.153226,Additional Calibration Constant
hov3,Constant,ihvs,-0.313608,Additional Calibration Constant
walk,Constant,ihvs,-0.595023,Additional Calibration Constant
pnr,Constant,ihvs,-0.595023,Additional Calibration Constant
knr,Constant,ihvs,-0.595023,Additional Calibration Constant
auto_pay,Constant,ihvs,1.631601,Additional Calibration Constant
other_auto,Constant,ihvs,0.282554,Additional Calibration Constant
