Alternative,Expression,Segment,Coefficient,Description
w_eb,w_eb_skim.[Access Walk Time],,-0.09,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.0826,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.062,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
knr_lb,Constant,,-0.095,Constant
knr_lb,knr_lb_skim.[In-Vehicle Time],,-0.02129,IVTT
knr_lb,knr_lb_skim.Fare,,-0.107363,Fare
knr_lb,knr_lb_skim.[Access Walk Time],,-0.09,Access walk time
knr_lb,knr_lb_skim.[Initial Wait Time],,-0.0826,Initial wait time
knr_lb,knr_lb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
knr_lb,knr_lb_skim.[Egress Walk Time],,-0.062,Egress walk time
knr_lb,knr_lb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
knr_eb,knr_eb_skim.[In-Vehicle Time],,-0.02129,IVTT
knr_eb,knr_eb_skim.Fare,,-0.107363,Fare
knr_eb,knr_eb_skim.[Access Walk Time],,-0.09,Access walk time
knr_eb,knr_eb_skim.[Initial Wait Time],,-0.0826,Initial wait time
knr_eb,knr_eb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
knr_eb,knr_eb_skim.[Egress Walk Time],,-0.062,Egress walk time
knr_eb,knr_eb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
pnr_lb,Constant,v0,-99,Auto Availability
pnr_lb,Constant,,2.69,Constant
pnr_lb,pnr_lb_skim.[In-Vehicle Time],,-0.02129,IVTT
pnr_lb,pnr_lb_skim.Fare,,-0.107363,Fare
pnr_lb,pnr_lb_skim.[Access Walk Time],,-0.09,Access walk time
pnr_lb,pnr_lb_skim.[Initial Wait Time],,-0.0826,Initial wait time
pnr_lb,pnr_lb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
pnr_lb,pnr_lb_skim.[Egress Walk Time],,-0.062,Egress walk time
pnr_lb,pnr_lb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
pnr_eb,Constant,v0,-99,Auto Availability
pnr_eb,Constant,,2.63,Constant
pnr_eb,pnr_eb_skim.[In-Vehicle Time],,-0.02129,IVTT
pnr_eb,pnr_eb_skim.Fare,,-0.107363,Fare
pnr_eb,pnr_eb_skim.[Access Walk Time],,-0.09,Access walk time
pnr_eb,pnr_eb_skim.[Initial Wait Time],,-0.0826,Initial wait time
pnr_eb,pnr_eb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
pnr_eb,pnr_eb_skim.[Egress Walk Time],,-0.062,Egress walk time
pnr_eb,pnr_eb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
