TAZ,NCSU_MODELAREA,UNC_MODELAREA,DUKE_MODELAREA,NCCU_MODELAREA
135,0,1,1,1
136,0,1,1,1
137,0,1,1,1
138,0,1,1,1
139,0,1,1,1
140,0,1,1,1
141,0,1,1,1
142,0,1,1,1
143,0,1,1,1
144,0,1,1,1
145,0,1,1,1
146,0,1,1,1
147,0,1,1,1
148,0,1,1,1
149,0,1,1,1
150,0,1,1,1
151,0,1,1,1
152,0,1,1,1
153,0,1,1,1
154,0,1,1,1
155,0,1,1,1
156,0,1,1,1
157,0,1,1,1
158,0,1,1,1
159,0,1,1,1
160,0,1,1,1
161,0,1,1,1
162,0,1,1,1
163,0,1,1,1
164,0,1,1,1
165,0,1,1,1
166,0,1,1,1
167,0,1,1,1
168,0,1,1,1
169,0,1,1,1
170,0,1,1,1
171,0,1,1,1
172,0,1,1,1
173,0,1,1,1
174,0,1,1,1
175,0,1,1,1
176,0,1,1,1
177,0,1,1,1
178,0,1,1,1
179,0,1,1,1
180,0,1,1,1
181,0,1,1,1
182,0,1,1,1
183,0,1,1,1
184,0,1,1,1
185,0,1,1,1
186,0,1,1,1
187,0,1,1,1
188,0,1,1,1
189,0,1,1,1
190,0,1,1,1
191,0,1,1,1
192,0,1,1,1
193,0,1,1,1
194,0,1,1,1
195,0,1,1,1
196,0,1,1,1
197,0,1,1,1
198,0,1,1,1
199,0,1,1,1
200,0,1,1,1
201,0,1,1,1
202,0,1,1,1
203,0,1,1,1
204,0,1,1,1
205,0,1,1,1
206,0,1,1,1
207,0,1,1,1
208,0,1,1,1
209,0,1,1,1
210,0,1,1,1
211,0,1,1,1
212,0,1,1,1
213,0,1,1,1
214,0,1,1,1
215,0,0,1,1
216,0,1,1,1
217,0,0,1,1
218,0,0,1,1
219,0,1,1,1
220,0,0,1,1
221,0,0,1,1
222,0,0,1,1
223,0,0,1,1
224,0,0,1,1
225,0,0,1,1
226,0,0,1,1
227,0,0,1,1
228,0,0,1,1
229,0,0,1,1
230,0,0,1,1
231,0,0,1,1
232,0,0,1,1
233,0,0,1,1
234,0,0,1,1
235,0,0,1,1
236,0,0,1,1
237,0,0,1,1
238,0,0,1,1
239,0,0,1,1
240,0,0,1,1
241,0,0,1,1
242,0,0,1,1
243,0,0,1,1
244,0,0,1,1
245,0,0,1,1
246,0,0,1,1
247,0,0,1,1
248,0,0,1,1
249,0,0,1,1
250,0,0,1,1
251,0,0,1,1
252,0,0,1,1
253,0,0,1,1
254,0,0,1,1
255,0,0,1,1
256,0,0,1,1
257,0,0,1,1
258,0,0,1,1
259,0,0,1,1
260,0,0,1,1
261,0,0,1,1
262,0,0,1,1
263,0,0,1,1
264,0,0,1,1
265,0,0,1,1
266,0,0,1,1
267,0,0,1,1
268,0,0,1,1
269,0,1,1,1
270,0,1,1,1
271,0,1,1,1
272,0,1,1,1
273,0,1,1,1
274,0,0,1,1
275,0,1,1,1
276,0,1,1,1
277,0,1,1,1
278,0,1,1,1
279,0,1,1,1
280,0,1,1,1
281,0,1,1,1
282,0,1,1,1
283,0,1,1,1
284,0,1,1,1
285,0,1,1,1
286,0,1,1,1
287,0,1,1,1
288,0,1,1,1
289,0,1,1,1
290,0,1,1,1
291,0,1,1,1
292,0,1,1,1
293,0,1,1,1
294,0,1,1,1
295,0,1,1,1
296,0,1,1,1
297,0,1,1,1
298,0,1,1,1
299,0,1,1,1
300,0,1,1,1
301,0,1,1,1
302,0,1,1,1
303,0,1,1,1
304,0,1,1,1
305,0,1,1,1
306,0,1,1,1
307,0,0,1,1
308,0,1,1,1
309,0,1,1,1
310,0,1,1,1
311,0,1,1,1
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,1,1,1
317,0,1,1,1
318,0,1,1,1
319,0,1,1,1
320,0,1,1,1
321,0,1,1,1
322,0,1,1,1
323,0,1,1,1
324,0,1,1,1
325,0,1,1,1
326,0,1,1,1
327,0,0,1,1
328,0,0,1,1
329,0,0,1,1
330,0,0,1,1
331,0,0,1,1
332,0,0,1,1
333,0,0,1,1
334,0,0,1,1
335,0,0,1,1
336,0,0,1,1
337,0,0,1,1
338,0,0,1,1
339,0,0,1,1
340,0,0,1,1
341,0,0,1,1
342,0,0,1,0
343,0,0,1,1
344,0,0,1,1
345,0,0,1,1
346,0,0,1,1
347,0,0,1,1
348,0,0,1,1
349,0,0,1,1
350,0,0,1,1
351,0,0,1,1
352,0,0,1,1
353,0,0,1,1
354,0,0,1,1
355,0,0,1,1
356,0,0,1,1
357,0,0,1,1
358,0,1,1,1
359,0,1,1,1
360,0,0,1,1
361,0,0,1,1
362,0,0,1,1
363,0,0,1,1
364,0,0,1,1
365,0,0,1,1
366,0,1,1,1
367,0,1,1,1
368,0,1,1,1
369,0,0,1,1
370,0,0,1,1
371,0,0,1,1
372,0,0,1,1
373,0,1,1,1
374,0,1,1,1
375,0,1,1,1
376,0,1,1,1
377,0,1,1,1
378,0,1,1,1
379,0,1,1,1
380,0,1,1,1
381,0,0,1,1
382,0,0,1,1
383,0,0,1,1
384,0,0,1,1
385,0,0,1,1
386,0,0,1,1
387,0,0,1,1
388,0,0,1,1
389,0,0,1,1
390,0,0,1,1
391,0,0,1,1
392,0,0,1,1
393,0,0,1,1
394,0,0,1,1
395,0,0,1,1
396,0,0,1,1
397,0,0,1,1
398,0,0,1,1
399,0,0,1,1
400,0,0,1,1
401,0,0,1,1
402,0,0,1,1
403,0,0,1,1
404,0,0,1,1
405,0,0,1,1
406,0,0,1,1
407,0,0,1,1
408,0,0,1,1
409,0,0,1,1
410,0,0,1,1
411,0,0,1,1
412,0,0,1,1
413,0,0,1,1
414,0,0,1,1
415,0,0,1,1
416,0,0,1,1
417,0,0,1,1
418,0,0,1,1
419,0,0,1,1
420,0,0,1,1
421,0,0,1,1
422,0,0,1,1
423,0,0,1,1
424,0,0,1,1
425,0,0,1,1
426,0,0,1,1
427,0,0,1,1
428,0,0,1,1
429,0,0,1,1
430,0,0,1,1
431,0,0,1,1
432,0,0,1,1
433,0,0,1,1
434,0,0,1,1
435,0,0,1,1
436,0,0,1,1
437,0,0,1,1
438,0,0,1,1
439,0,0,1,1
440,0,0,1,1
441,0,0,1,1
442,0,0,1,1
443,0,0,1,1
444,0,0,1,1
445,0,0,1,1
446,0,0,1,1
447,0,0,1,1
448,0,0,1,1
449,0,0,1,1
450,0,1,1,1
451,0,0,1,1
452,0,0,1,1
453,0,0,1,1
454,0,0,1,1
455,0,0,1,1
456,0,0,1,1
457,0,0,1,1
458,0,0,1,1
459,1,0,1,1
460,1,0,1,1
461,1,0,1,1
462,1,0,1,1
463,0,0,1,1
464,1,0,1,1
465,1,0,1,1
466,1,0,0,1
467,0,0,1,1
468,0,0,1,1
469,0,0,1,1
470,0,0,1,1
471,0,0,0,1
472,0,1,1,1
473,0,1,1,1
474,0,1,1,1
475,0,1,1,1
476,0,1,1,1
477,0,1,1,1
478,0,1,1,1
479,0,1,1,1
480,0,1,1,1
481,0,1,1,1
482,0,1,1,1
483,0,1,1,1
484,0,1,1,1
485,0,1,1,1
486,0,1,1,1
487,0,1,1,1
488,0,1,1,1
489,0,1,1,1
490,0,1,1,1
491,0,1,1,1
492,0,1,1,1
493,0,1,1,1
494,0,1,1,1
495,0,1,1,1
496,0,1,1,1
497,0,1,1,1
498,0,1,1,1
499,0,1,1,1
500,0,1,1,1
501,0,1,1,1
502,0,1,1,1
503,0,1,1,1
504,0,1,1,1
505,0,1,1,1
506,0,1,1,1
507,0,1,1,1
508,0,1,1,1
509,0,1,1,1
510,0,1,1,1
511,0,1,1,1
512,0,1,1,1
513,0,1,1,1
514,0,1,1,1
515,0,1,1,1
516,0,1,1,1
517,0,1,1,1
518,0,1,1,1
519,0,1,1,1
520,0,1,1,1
521,0,1,1,1
522,0,1,1,1
523,0,1,1,1
524,0,1,1,1
525,0,1,1,1
526,0,1,1,1
527,0,1,1,1
528,0,1,1,1
529,0,1,1,1
530,0,1,1,1
531,0,1,1,1
532,0,1,1,1
533,0,1,1,1
534,0,1,1,1
535,0,1,1,1
536,0,1,1,1
537,0,1,1,1
538,0,1,1,1
539,0,1,1,1
540,0,1,1,1
541,0,1,1,1
542,0,1,1,1
543,0,1,1,1
544,0,1,1,1
545,0,0,1,1
546,0,1,1,1
547,0,1,1,1
548,0,1,1,1
549,0,0,1,1
550,0,0,1,1
551,0,1,1,1
552,0,1,1,1
553,0,1,1,1
554,1,1,1,1
555,0,1,1,1
556,0,1,1,1
557,0,1,1,1
558,0,1,1,1
559,0,1,1,1
560,0,1,1,1
561,0,1,1,1
562,0,1,1,1
563,0,1,1,1
564,0,1,1,1
565,0,1,1,1
566,0,1,1,1
567,0,0,1,1
568,0,1,1,1
569,0,1,1,1
570,0,1,1,1
571,0,1,1,1
572,0,1,1,1
573,1,1,1,1
574,1,1,1,1
575,1,1,1,1
576,0,1,1,1
577,1,1,1,1
578,0,1,1,1
579,0,1,1,1
580,1,0,1,1
581,1,0,1,1
582,0,0,1,1
583,1,0,1,1
584,1,0,1,1
585,0,0,1,1
586,1,0,1,1
587,1,0,1,1
588,1,0,1,1
589,1,0,1,1
590,1,0,1,1
591,1,0,1,1
592,1,0,1,1
593,1,0,1,1
594,1,0,1,1
595,1,0,1,1
596,1,0,1,1
597,1,0,1,1
598,0,1,1,1
599,0,1,1,1
600,0,1,1,1
601,0,1,1,1
602,0,1,1,1
603,0,1,1,1
604,0,1,1,1
605,0,1,1,1
606,0,1,1,1
607,0,1,1,1
608,0,1,1,1
609,0,1,1,1
610,0,1,1,1
611,0,1,1,1
612,0,1,1,1
613,0,1,1,1
614,0,1,1,1
615,0,1,1,1
616,0,1,1,1
617,0,1,1,1
618,0,1,1,1
619,0,1,1,1
620,0,1,1,1
621,0,1,1,1
622,0,1,1,1
623,0,1,1,1
624,0,1,1,1
625,0,1,1,1
626,0,1,1,1
627,0,1,1,1
628,0,1,1,1
629,0,1,1,1
630,0,1,1,1
631,0,1,1,1
632,0,1,1,1
633,0,1,1,1
634,0,1,1,1
635,0,1,1,1
636,0,1,1,1
637,0,1,1,1
638,0,1,1,1
639,0,1,1,1
640,0,1,1,1
641,0,1,1,1
642,0,1,1,1
643,0,1,1,1
644,0,1,1,1
645,0,1,1,1
646,0,1,1,1
647,0,1,1,1
648,0,1,1,1
649,0,1,1,1
650,0,1,1,1
651,0,1,1,1
652,0,1,1,1
653,0,0,1,0
654,0,0,1,0
655,0,0,1,0
656,0,0,1,1
657,0,0,1,1
658,0,0,1,1
659,0,0,1,1
660,0,0,0,0
661,0,0,0,0
662,0,0,0,0
663,0,0,1,0
664,0,0,1,1
665,0,0,1,0
666,0,0,1,0
667,0,0,0,0
668,0,0,0,0
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,0,0,0,0
681,0,0,0,0
682,0,0,0,0
683,0,0,0,0
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,0,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,0,0,0,0
760,0,0,0,0
761,0,0,0,0
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,0,0,0,0
778,0,0,0,0
779,0,0,0,0
780,0,0,0,0
781,0,0,0,0
782,0,0,0,0
783,0,0,0,0
784,0,0,0,0
785,0,0,0,0
786,0,0,0,0
787,0,0,0,0
788,0,0,0,0
789,0,0,0,0
790,0,0,0,0
791,0,0,0,0
792,0,0,0,0
793,0,0,0,0
794,0,0,0,0
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,0,1,1
799,0,0,0,0
800,0,0,0,0
801,0,0,1,0
802,0,0,0,0
803,0,0,0,0
804,0,0,0,0
805,0,0,0,0
806,0,0,0,0
807,0,0,0,0
808,0,0,0,0
809,0,0,0,0
810,0,0,0,0
811,0,0,0,0
812,0,0,0,0
813,0,0,0,0
814,0,0,0,0
815,0,0,0,0
816,0,0,0,0
817,0,0,0,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,0
824,0,0,1,1
825,0,0,1,0
826,0,0,0,0
827,0,0,1,1
828,0,0,0,0
829,0,0,0,0
830,0,0,0,0
831,0,0,0,0
832,0,0,0,0
833,0,0,0,0
834,0,0,0,0
835,0,0,0,0
836,0,0,0,0
837,0,0,0,0
838,0,0,0,0
839,0,0,0,0
840,0,0,0,0
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,0,0,0,0
850,0,0,0,0
851,0,0,0,0
852,0,0,0,0
853,0,0,0,0
854,0,0,0,0
855,0,0,0,0
856,0,0,0,0
857,0,0,0,0
858,0,0,0,0
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
862,0,0,0,0
863,0,0,0,0
864,0,0,0,0
865,0,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,0
875,0,0,0,0
876,0,0,0,0
877,0,0,0,0
878,0,0,0,0
879,0,0,0,0
880,0,0,0,0
881,0,0,0,0
882,0,0,0,0
883,0,0,0,0
884,0,0,0,0
885,0,0,0,0
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,0,0,0
895,0,0,0,0
896,0,0,0,0
897,0,0,0,0
898,0,0,0,0
899,0,0,0,0
900,0,0,0,0
901,0,0,0,0
902,0,0,0,0
903,0,0,0,0
904,0,0,0,0
905,0,0,0,0
906,0,0,0,0
907,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,0,0,0,0
918,0,0,0,0
919,0,0,0,0
920,0,0,0,0
921,0,0,0,0
922,0,0,0,0
923,0,0,0,0
924,0,0,0,0
925,0,0,0,0
926,0,0,0,0
927,0,0,0,0
928,0,0,0,0
929,0,0,0,0
930,0,0,0,0
931,0,0,0,0
932,0,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,0,0,0,0
946,0,0,0,0
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,0,0,0,0
951,0,0,0,0
952,0,0,0,0
953,0,0,0,0
954,0,0,0,0
955,0,0,0,0
956,0,0,0,0
957,0,0,0,0
958,0,0,0,0
959,0,0,0,0
960,0,0,0,0
961,0,0,0,0
962,0,0,0,0
963,0,0,0,0
964,0,0,0,0
965,0,0,0,0
966,0,0,0,0
967,0,0,0,0
968,0,0,0,0
969,0,0,0,0
970,0,0,0,0
971,0,0,0,0
972,0,0,0,0
973,0,0,0,0
974,0,0,0,0
975,0,0,0,0
976,0,0,0,0
977,0,0,0,0
978,0,0,0,0
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,0,0,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,0,0,0,0
991,0,0,0,0
992,0,0,0,0
993,0,0,0,0
994,0,0,0,0
995,0,0,0,0
996,0,0,0,0
997,0,0,0,0
998,0,0,0,0
999,0,0,0,0
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,0,0,0,0
1004,0,0,0,0
1005,0,0,0,0
1006,0,0,0,0
1007,0,0,0,0
1008,0,0,0,0
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1016,0,0,0,0
1017,0,0,0,0
1018,0,0,0,0
1019,0,0,0,0
1020,0,0,0,0
1021,0,0,0,0
1022,0,0,0,0
1023,0,0,0,0
1024,0,0,0,0
1025,0,0,0,0
1026,0,0,0,0
1027,0,0,0,0
1028,0,0,0,0
1029,0,0,0,0
1030,0,0,0,0
1031,0,0,0,0
1032,0,0,0,0
1033,0,0,0,0
1034,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1039,0,0,0,0
1040,0,0,0,0
1041,0,0,0,0
1042,0,0,0,0
1043,0,0,0,0
1044,0,0,0,0
1045,0,0,0,0
1046,0,0,0,0
1047,0,0,0,0
1048,0,0,0,0
1049,0,0,0,0
1050,0,0,0,0
1051,0,0,0,0
1052,0,0,0,0
1053,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1056,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1059,0,0,0,0
1060,0,0,0,0
1061,0,0,0,0
1062,0,0,0,0
1063,0,0,0,0
1064,0,0,0,0
1065,0,0,0,0
1066,0,0,0,0
1067,0,0,0,0
1068,0,0,0,0
1069,0,0,0,0
1070,0,0,0,0
1071,0,0,0,0
1072,0,0,0,0
1073,0,0,0,0
1074,0,0,0,0
1075,0,0,0,0
1076,0,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1080,0,0,0,0
1081,0,0,0,0
1082,0,0,0,0
1083,0,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1086,0,0,0,0
1087,0,0,0,0
1088,0,0,0,0
1089,0,0,0,0
1090,0,0,0,0
1091,0,0,0,0
1092,0,0,0,0
1093,0,0,0,0
1094,0,0,0,0
1095,0,0,0,0
1096,0,0,0,0
1097,0,0,0,0
1098,0,0,0,0
1099,0,0,0,0
1100,0,0,0,0
1101,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
1110,0,1,0,0
1111,0,1,1,0
1112,0,1,0,0
1113,0,1,1,0
1114,0,1,1,0
1115,0,1,1,0
1116,0,1,1,0
1117,0,1,1,0
1118,0,1,1,0
1119,0,1,1,0
1120,0,1,1,0
1121,0,1,1,1
1122,0,1,1,0
1123,0,1,1,0
1124,0,1,1,0
1125,0,1,1,0
1126,0,1,1,0
1127,0,1,1,0
1128,0,1,1,0
1129,0,1,1,0
1130,0,1,1,0
1131,0,1,1,0
1132,0,1,1,0
1133,0,1,1,0
1134,0,1,1,0
1135,0,1,1,0
1136,0,1,1,0
1137,0,1,1,0
1138,0,1,1,0
1139,0,1,1,0
1140,0,1,0,0
1141,0,1,1,0
1142,0,1,0,0
1143,0,1,0,0
1144,0,1,0,0
1145,0,1,0,0
1146,0,1,0,0
1147,0,1,0,0
1148,0,1,0,0
1149,0,0,0,0
1150,0,0,0,0
1151,0,0,0,0
1152,0,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1155,0,0,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,0,0,1,0
1160,0,0,0,0
1161,0,0,0,0
1162,0,0,0,0
1163,0,0,1,0
1164,0,0,1,0
1165,0,0,1,0
1166,0,0,1,1
1167,0,1,1,1
1168,0,1,1,1
1169,0,1,1,1
1170,0,1,1,1
1171,0,1,1,1
1172,0,0,1,1
1173,0,0,1,1
1174,0,0,0,0
1175,0,0,1,0
1176,0,0,1,0
1177,0,0,0,0
1178,0,0,1,0
1179,0,1,1,1
1180,0,1,1,1
1181,0,1,1,1
1182,0,0,0,0
1183,0,0,0,0
1184,0,1,1,0
1185,0,1,1,1
1186,0,1,1,0
1187,0,0,1,0
1188,0,0,1,0
1189,0,0,1,0
1190,0,1,1,1
1191,0,1,1,1
1192,0,1,1,0
1193,0,0,0,0
1194,0,0,1,0
1195,0,0,1,0
1196,0,0,1,0
1197,0,0,0,0
1198,0,0,1,0
1199,0,0,0,0
1200,0,0,0,0
1201,0,0,0,0
1202,0,0,0,0
1203,0,0,0,0
1204,0,0,0,0
1205,0,0,0,0
1206,0,0,0,0
1207,0,1,0,0
1208,0,0,0,0
1209,0,1,0,0
1210,0,0,0,0
1211,0,0,0,0
1212,0,0,1,0
1213,0,1,1,0
1214,0,1,1,0
1215,0,1,1,1
1216,0,1,1,1
1217,0,1,1,1
1218,0,1,1,1
1219,0,1,1,1
1220,0,1,1,1
1221,0,1,1,1
1222,0,1,1,1
1223,0,1,1,1
1224,0,1,1,1
1225,0,1,1,1
1226,0,1,1,1
1227,0,1,1,1
1228,0,1,1,1
1229,0,1,1,1
1230,0,1,1,1
1231,0,1,1,1
1232,0,1,1,1
1233,0,1,1,1
1234,0,1,1,1
1235,0,1,1,1
1236,0,1,1,1
1237,0,1,1,1
1238,0,1,1,1
1239,0,1,1,1
1240,0,1,1,0
1241,0,1,1,0
1242,0,1,1,0
1243,0,1,1,1
1244,0,1,1,1
1245,0,1,1,1
1246,0,1,1,1
1247,0,1,1,1
1248,0,1,1,0
1249,0,1,1,0
1250,0,1,1,0
1251,0,1,0,0
1252,0,1,0,0
1253,0,1,0,0
1254,0,1,0,0
1255,0,1,1,0
1256,0,1,1,0
1257,0,1,1,0
1258,0,1,0,0
1259,0,0,0,0
1260,0,1,0,0
1261,0,1,0,0
1262,0,0,0,0
1263,0,1,0,0
1264,0,1,0,0
1265,0,1,0,0
1266,0,1,0,0
1267,0,1,0,0
1268,0,1,0,0
1269,0,1,0,0
1270,0,1,1,1
1271,0,1,1,1
1272,0,1,1,1
1273,0,1,1,1
1274,0,1,1,1
1275,0,1,1,1
1276,0,1,1,1
1277,0,1,1,1
1278,0,1,1,1
1279,0,1,1,1
1280,0,1,1,1
1281,0,1,1,1
1282,0,1,1,1
1283,0,1,1,1
1284,0,1,1,1
1285,0,1,1,1
1286,0,1,1,1
1287,0,1,1,1
1288,0,1,1,1
1289,0,1,1,1
1290,0,1,1,1
1291,0,1,1,1
1292,0,1,1,1
1293,0,1,1,1
1294,0,1,1,1
1295,0,1,1,1
1296,0,1,1,1
1297,0,1,1,1
1298,0,1,1,1
1299,0,1,1,1
1300,0,0,0,0
1301,0,1,1,1
1302,0,1,1,0
1303,0,1,1,1
1304,0,1,1,0
1305,0,1,1,1
1306,0,1,1,1
1307,0,1,1,1
1308,0,1,1,1
1309,0,1,1,1
1310,0,1,1,1
1311,0,1,1,1
1312,0,1,1,1
1313,0,1,1,1
1314,0,1,1,1
1315,0,1,1,1
1316,0,1,1,1
1317,0,1,1,1
1318,0,1,1,1
1319,0,1,1,1
1320,0,1,1,1
1321,0,1,1,1
1322,0,1,1,1
1323,0,1,1,1
1324,0,1,1,1
1325,0,1,1,1
1326,0,1,1,1
1327,0,1,1,1
1328,0,1,1,1
1329,0,1,1,1
1330,0,1,1,1
1331,0,1,1,1
1332,0,1,1,1
1333,0,1,1,1
1334,0,1,1,1
1335,0,1,1,1
1336,0,1,1,1
1337,0,1,1,1
1338,0,1,1,1
1339,0,1,1,1
1340,0,1,1,1
1341,0,1,1,1
1342,0,1,1,1
1343,0,1,1,1
1344,0,1,1,1
1345,0,1,1,1
1346,0,1,1,1
1347,0,1,1,1
1348,0,1,1,1
1349,0,1,1,1
1350,0,1,1,1
1351,0,1,1,1
1352,0,1,1,1
1353,0,1,1,1
1354,0,1,1,1
