sourcetype,year,styFactor,, sourceTypePopulation_Alamance ,styFactor-Alamance, sourceTypePopulation_Chatham ,styFactor-Chatham, sourceTypePopulation_Durham ,styFactor-Durham, sourceTypePopulation_Franklin ,styFactor-Franklin, sourceTypePopulation_Granville ,styFactor-Granville, sourceTypePopulation_Harnett ,styFactor-Harnett, sourceTypePopulation_Johnston ,styFactor-Johnston, sourceTypePopulation_Nash ,styFactor-Nash, sourceTypePopulation_Orange ,styFactor-Orange, sourceTypePopulation_Person ,styFactor-Person, sourceTypePopulation_Wake ,styFactor-Wake, sourceTypePopulation_TRM Area ,styFactor-TRM Area, sourceTypePopulation_DCHC ,styFactor-DCHC, sourceTypePopulation_CAMPO ,styFactor-CAMPO
54,2020, 0.00708 ,, 33 , 0.00132 , 70 , 0.00144 , 194 , 0.00094 , 78 , 0.00152 , 41 , 0.00128 , 43 , 0.00142 , 250 , 0.00156 , 6 , 0.00166 , 109 , 0.00113 , 51 , 0.00157 ," 1,129 ", 0.00139 ," 2,005 ", 0.00134 , 456 , 0.00134 ," 1,313 ", 0.00134 
61,2020, 0.00525 ,, 100 , 0.00401 , 216 , 0.00446 , 475 , 0.00231 , 218 , 0.00424 , 115 , 0.00355 , 125 , 0.00411 , 668 , 0.00418 , 19 , 0.00512 , 260 , 0.00269 , 168 , 0.00516 ," 2,710 ", 0.00334 ," 5,073 ", 0.00339 ," 1,154 ", 0.00339 ," 3,323 ", 0.00339 
62,2020, 0.00633 ,, 76 , 0.00306 , 165 , 0.00340 , 361 , 0.00175 , 166 , 0.00323 , 88 , 0.00270 , 96 , 0.00313 , 508 , 0.00318 , 14 , 0.00390 , 197 , 0.00204 , 128 , 0.00394 ," 2,059 ", 0.00254 ," 3,857 ", 0.00258 , 877 , 0.00258 ," 2,526 ", 0.00258 
,,,," 24,827 ", 1 ," 48,463 ", 1 ," 206,072 ", 1 ," 51,348 ", 1 ," 32,414 ", 1 ," 30,544 ", 1 ," 159,682 ", 1 ," 3,682 ", 1 ," 96,606 ", 1 ," 32,487 ", 1 ," 810,629 ", 1 ," 1,496,753 ", 1 ," 340,472 ", 1 ," 980,276 ", 1 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, sourceTypePopulation_Alamance ,styFactor-Alamance, sourceTypePopulation_Chatham ,styFactor-Chatham, sourceTypePopulation_Durham ,styFactor-Durham, sourceTypePopulation_Franklin ,styFactor-Franklin, sourceTypePopulation_Granville ,styFactor-Granville, sourceTypePopulation_Harnett ,styFactor-Harnett, sourceTypePopulation_Johnston ,styFactor-Johnston, sourceTypePopulation_Nash ,styFactor-Nash, sourceTypePopulation_Orange ,styFactor-Orange, sourceTypePopulation_Person ,styFactor-Person, sourceTypePopulation_Wake ,styFactor-Wake, sourceTypePopulation_TRM Area ,styFactor-TRM Area, sourceTypePopulation_DCHC ,styFactor-DCHC, sourceTypePopulation_CAMPO ,styFactor-CAMPO
11,2050,0.044076315,, 872 , 0.02270 ," 1,765 ", 0.02151 ," 3,985 ", 0.01340 ," 2,470 ", 0.02644 ," 1,244 ", 0.02540 ," 1,326 ", 0.03103 ," 6,729 ", 0.02449 , 77 , 0.02026 ," 2,185 ", 0.01742 , 934 , 0.02855 ," 20,468 ", 0.01497 ," 42,053 ", 0.01747 ," 8,515 ", 0.01747 ," 28,077 ", 0.01747 
21,2050,0.496094482,," 28,284 ", 0.73658 ," 59,574 ", 0.72590 ," 249,309 ", 0.83822 ," 62,867 ", 0.67308 ," 33,414 ", 0.68236 ," 28,974 ", 0.67800 ," 191,399 ", 0.69656 ," 2,664 ", 0.70190 ," 99,917 ", 0.79679 ," 21,146 ", 0.64622 ," 1,110,753 ", 0.81219 ," 1,888,301 ", 0.78441 ," 382,328 ", 0.78441 ," 1,260,728 ", 0.78441 
31,2050,0.330032675,," 5,818 ", 0.15152 ," 12,845 ", 0.15652 ," 27,861 ", 0.09367 ," 18,114 ", 0.19393 ," 9,488 ", 0.19376 ," 8,041 ", 0.18816 ," 48,703 ", 0.17725 , 653 , 0.17205 ," 14,826 ", 0.11823 ," 6,821 ", 0.20845 ," 140,875 ", 0.10301 ," 294,046 ", 0.12215 ," 59,536 ", 0.12215 ," 196,321 ", 0.12215 
32,2050,0.083945887,," 2,309 ", 0.06013 ," 5,244 ", 0.06390 ," 11,068 ", 0.03721 ," 7,033 ", 0.07530 ," 3,541 ", 0.07231 ," 3,110 ", 0.07278 ," 19,402 ", 0.07061 , 261 , 0.06887 ," 5,895 ", 0.04701 ," 2,618 ", 0.08000 ," 60,638 ", 0.04434 ," 121,121 ", 0.05031 ," 24,524 ", 0.05031 ," 80,866 ", 0.05031 
41,2050,7.68E-06,, 110 , 0.00286 , 261 , 0.00318 , 486 , 0.00164 , 281 , 0.00301 , 124 , 0.00252 , 125 , 0.00292 , 816 , 0.00297 , 14 , 0.00364 , 239 , 0.00190 , 120 , 0.00368 ," 3,241 ", 0.00237 ," 5,817 ", 0.00242 ," 1,178 ", 0.00242 ," 3,884 ", 0.00242 
42,2050,0.000241946,, 67 , 0.00175 , 160 , 0.00195 , 298 , 0.00100 , 172 , 0.00185 , 76 , 0.00155 , 76 , 0.00179 , 500 , 0.00182 , 8 , 0.00223 , 146 , 0.00117 , 74 , 0.00226 ," 1,987 ", 0.00145 ," 3,565 ", 0.00148 , 722 , 0.00148 ," 2,380 ", 0.00148 
43,2050,0.000633668,, 187 , 0.00486 , 442 , 0.00539 , 856 , 0.00288 , 485 , 0.00519 , 213 , 0.00435 , 214 , 0.00500 ," 1,415 ", 0.00515 , 23 , 0.00618 , 423 , 0.00337 , 202 , 0.00619 ," 5,726 ", 0.00419 ," 10,187 ", 0.00423 ," 2,063 ", 0.00423 ," 6,801 ", 0.00423 
51,2050,0.000205462,, 10 , 0.00025 , 23 , 0.00028 , 43 , 0.00014 , 25 , 0.00027 , 11 , 0.00022 , 11 , 0.00026 , 72 , 0.00026 , 1 , 0.00032 , 21 , 0.00017 , 11 , 0.00033 , 287 , 0.00021 , 515 , 0.00021 , 104 , 0.00021 , 344 , 0.00021 
52,2050,0.025919381,, 393 , 0.01024 , 926 , 0.01129 ," 1,906 ", 0.00641 ," 1,044 ", 0.01118 , 458 , 0.00936 , 456 , 0.01067 ," 3,078 ", 0.01120 , 49 , 0.01296 , 949 , 0.00757 , 418 , 0.01277 ," 12,822 ", 0.00938 ," 22,500 ", 0.00935 ," 4,556 ", 0.00935 ," 15,022 ", 0.00935 
53,2050,0.001072833,, 27 , 0.00071 , 64 , 0.00078 , 127 , 0.00043 , 71 , 0.00076 , 31 , 0.00064 , 31 , 0.00073 , 208 , 0.00076 , 3 , 0.00090 , 63 , 0.00050 , 29 , 0.00089 , 854 , 0.00062 ," 1,510 ", 0.00063 , 306 , 0.00063 ," 1,008 ", 0.00063 
54,2050,0.006511764,, 51 , 0.00132 , 118 , 0.00144 , 280 , 0.00094 , 142 , 0.00152 , 63 , 0.00128 , 61 , 0.00142 , 430 , 0.00156 , 6 , 0.00166 , 142 , 0.00113 , 51 , 0.00157 ," 1,905 ", 0.00139 ," 3,249 ", 0.00135 , 658 , 0.00135 ," 2,169 ", 0.00135 
61,2050,0.004875826,, 154 , 0.00401 , 366 , 0.00446 , 686 , 0.00231 , 396 , 0.00424 , 174 , 0.00355 , 175 , 0.00411 ," 1,149 ", 0.00418 , 19 , 0.00512 , 337 , 0.00269 , 169 , 0.00516 ," 4,572 ", 0.00334 ," 8,198 ", 0.00341 ," 1,660 ", 0.00341 ," 5,473 ", 0.00341 
62,2050,0.006382079,, 118 , 0.00306 , 279 , 0.00340 , 521 , 0.00175 , 302 , 0.00323 , 132 , 0.00270 , 134 , 0.00313 , 874 , 0.00318 , 15 , 0.00390 , 256 , 0.00204 , 129 , 0.00394 ," 3,473 ", 0.00254 ," 6,233 ", 0.00259 ," 1,262 ", 0.00259 ," 4,161 ", 0.00259 
,,,," 38,399 ", 1 ," 82,068 ", 1 ," 297,427 ", 1 ," 93,402 ", 1 ," 48,969 ", 1 ," 42,734 ", 1 ," 274,777 ", 1 ," 3,795 ", 1 ," 125,399 ", 1 ," 32,723 ", 1 ," 1,367,600 ", 1 ," 2,407,295 ", 1 ," 487,410 ", 1 ," 1,607,236 ", 1 
