EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerAdult,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
423,1610074001,16100740,1460,1460,1429,1429,hov2,62500,31250,1,2,2,2,ilvs,AM,0,37.7261581420898,28.4511
454,1610078602,16100786,161,161,127,127,hov3,37500,18750,1,5,5,5,ilvi,AM,0,172.937164306641,133.02858
460,1610078602,16100786,161,161,127,127,sov,37500,18750,1,5,5,5,ilvi,PM,0,112.409156799316,133.02858
464,1610078603,16100786,161,161,127,127,hov3,37500,18750,1,5,5,5,ilvi,AM,0,133.028579711914,133.02858
467,1610078604,16100786,161,161,127,127,hov3,37500,18750,1,5,5,5,ilvi,AM,0,133.028579711914,133.02858
479,1610080303,16100803,2618,2618,2609,2609,hov3,62500,31250,1,82,82,2,ilvs,AM,0,79.1729125976563,79.17292
482,1610080304,16100803,2618,2618,2609,2609,hov3,62500,31250,1,82,82,2,ilvs,AM,0,79.1729125976563,79.17292
564,1610106801,16101068,2304,2304,2304,2304,sov,37500,18750,1,3,3,3,ilvs,MD,0,782.060729980469,680.05278
614,1610113101,16101131,357,357,488,488,sov,87500,29166.666666666668,1,5,5,7,ihvs,PM,0,247.033157348633,210.59945
660,1610134703,16101347,2065,561,2065,561,hov3,200000,100000,0,84,1,84,ihvs,PM,0,241.775421142578,241.77542
680,1610141801,16101418,1869,1869,2175,2175,hov2,125000,62500,1,3,3,3,ihvs,MD,0,37.3051490783691,33.20441
690,1610141802,16101418,1869,1869,2175,2175,hov2,125000,62500,1,3,3,3,ihvs,MD,0,37.3051490783691,33.20441
785,1610157201,16101572,1118,1118,1301,1301,hov2,62500,62500,1,6,6,6,ilvs,PM,0,35.3257217407227,26.64082
827,1610162601,16101626,2581,2581,1498,1498,sov,200000,100000,0,82,82,2,ihvs,PM,0,120.352828979492,88.17057
830,1610162601,16101626,2581,2581,2607,2607,hov3,200000,100000,0,82,82,2,ihvs,PM,0,154.051620483398,88.17057
834,1610162601,16101626,2581,2581,2607,2607,sov,200000,100000,0,82,82,2,ihvs,NT,0,154.051620483398,88.17057
846,1610162603,16101626,2581,2581,2607,2607,hov3,200000,100000,0,82,82,2,ihvs,PM,0,88.1705703735352,88.17057
855,1610163301,16101633,1997,1997,2164,2164,sov,62500,62500,1,3,3,3,ilvs,MD,0,151.795333862305,129.40778
862,1610163301,16101633,1997,1977,1997,1977,auto_pay,62500,62500,1,3,84,3,ilvs,MD,0,194.29801940918,129.40778
859,1610163301,16101633,1997,1997,2127,2127,other_auto,62500,62500,1,3,3,3,ilvs,MD,0,194.29801940918,129.40778
866,1610163301,16101633,1997,1997,1977,1977,auto_pay,62500,62500,1,3,3,84,ilvs,NT,0,151.795333862305,129.40778
882,1610166601,16101666,2209,2209,2217,2217,sov,37500,18750,1,3,3,3,ilvs,MD,0,256.007171630859,256.00718
897,1610167002,16101670,1279,1324,1279,1324,sov,37500,18750,1,6,6,6,ilvs,PM,0,90.833137512207,100.92571
947,1610181602,16101816,1019,1019,984,984,sov,37500,18750,1,83,83,83,ilvs,NT,0,51.5853271484375,51.58533
966,1610185601,16101856,1654,1654,2382,2382,hov2,37500,37500,1,2,2,3,ilvs,AM,0,126.893333435059,97.61025
1050,1610208603,16102086,2733,2733,2741,2741,other_auto,37500,37500,1,82,82,82,ilvs,AM,0,114.285217285156,114.28522
1123,1610215704,16102157,453,453,500,500,hov3,37500,37500,1,7,7,7,ilvs,AM,0,58.098762512207,58.09876
1132,1610225801,16102258,12,12,16,16,hov3,200000,100000,0,84,84,84,ihvs,AM,0,281.877532958984,233.43895
1136,1610225802,16102258,12,12,16,16,hov3,200000,100000,0,84,84,84,ihvs,AM,0,281.877532958984,233.43895
1140,1610225802,16102258,12,12,13,13,sov,200000,100000,0,84,84,84,ihvs,MD,0,281.877532958984,233.43895
1147,1610225803,16102258,12,13,12,13,hov3,200000,100000,0,84,84,84,ihvs,PM,0,233.438949584961,233.43895
1154,1610225804,16102258,12,13,12,13,hov3,200000,100000,0,84,84,84,ihvs,PM,0,233.438949584961,233.43895
1151,1610225804,16102258,12,12,16,16,hov3,200000,100000,0,84,84,84,ihvs,AM,0,233.438949584961,233.43895
1208,1610239701,16102397,1118,1118,1128,1128,hov3,37500,37500,1,6,6,6,ilvs,AM,0,99.4597015380859,86.4867
1210,1610239701,16102397,1118,1131,1118,1131,sov,37500,37500,1,6,6,6,ilvs,AM,0,127.308418273926,86.4867
1216,1610239701,16102397,1118,424,1118,424,sov,37500,37500,1,6,7,6,ilvs,NT,0,99.4597015380859,86.4867
1217,1610239702,16102397,1118,1118,1128,1128,hov3,37500,37500,1,6,6,6,ilvs,AM,0,86.4866943359375,86.4867
1221,1610239703,16102397,1118,1118,1128,1128,hov3,37500,37500,1,6,6,6,ilvs,AM,0,86.4866943359375,86.4867
1257,1610245502,16102455,2860,2860,1085,1085,sov,12500,6250,1,83,83,83,ilvi,PM,0,658.386779785156,496.97071
1326,1610263401,16102634,2150,2150,1879,1879,sov,62500,62500,1,3,3,3,ilvs,AM,0,33.8684959411621,33.20441
1330,1610263401,16102634,2150,2150,2342,2342,sov,62500,62500,1,3,3,3,ilvs,PM,0,33.8684959411621,33.20441
1334,1610264101,16102641,1654,1654,1623,1623,sov,125000,125000,0,2,2,2,ihvs,AM,0,87.2337875366211,129.40778
1361,1610266104,16102661,1241,1241,194,194,hov2,200000,100000,0,6,6,5,ihvs,MD,0,105.091522216797,105.09152
1364,1610269201,16102692,1242,1242,1232,1232,sov,125000,62500,1,6,6,6,ihvs,MD,0,118.732803344727,114.71768
1389,1610277601,16102776,2888,2609,2888,2609,sov,37500,37500,1,84,2,84,ilvs,MD,0,55.3986968994141,42.61438
1393,1610280301,16102803,1588,1588,1766,1766,hov2,87500,17500,1,4,4,4,ihvi,MD,0,999.044738769531,1110.0497
1405,1610280303,16102803,1588,1578,1588,1578,hov2,87500,17500,1,4,4,4,ihvi,MD,0,1068.97790527344,1110.0497
1402,1610280303,16102803,1588,1588,1766,1766,hov2,87500,17500,1,4,4,4,ihvi,MD,0,1368.29162597656,1110.0497
1448,1610296801,16102968,2957,2925,2957,2925,sov,62500,31250,1,81,81,81,ilvs,NT,0,31.9762191772461,33.2048
1453,1610299001,16102990,95,95,216,216,hov2,125000,62500,1,5,5,5,ihvs,NT,0,117.012153625488,96.90447
1466,1610299002,16102990,95,95,216,216,hov2,125000,62500,1,5,5,5,ihvs,NT,0,132.274597167969,96.90447
1701,1610358202,16103582,744,2795,744,2795,sov,62500,31250,1,82,82,82,ilvs,PM,0,48.0839920043945,44.05717
1728,1610366801,16103668,922,922,2814,2814,hov2,37500,18750,1,83,83,83,ilvs,PM,0,161.530563354492,200.65909
1736,1610369901,16103699,2294,2294,2322,2322,sov,87500,43750,1,3,3,3,ihvs,MD,0,266.696197509766,244.36155
1768,1610372803,16103728,339,339,632,632,hov2,87500,43750,1,5,5,7,ihvs,AM,0,102.909217834473,102.90922
1773,1610382601,16103826,1590,1590,1594,1594,sov,87500,87500,0,4,4,4,ihvs,NT,0,54.8252487182617,41.34634
1827,1610404601,16104046,2651,2651,1541,1541,sov,12500,12500,1,82,82,2,ilvs,MD,0,508.159423828125,490.97529
1889,1610413001,16104130,3064,3064,1682,1682,sov,87500,87500,0,2,2,2,ihvs,MD,0,33.8685417175293,33.20445
1907,1610415302,16104153,2367,2367,2381,2381,hov2,200000,100000,0,7,7,3,ihvs,AM,0,51.3767204284668,37.63862
1932,1610419401,16104194,2956,2955,2956,2955,sov,125000,62500,1,81,81,81,ihvs,PM,0,84.6313781738281,75.32833
1953,1610421602,16104216,954,954,978,978,hov2,87500,43750,1,83,83,83,ihvs,MD,0,58.2832908630371,57.14048
1971,1610429902,16104299,1909,1909,1960,1960,hov3,87500,29166.666666666668,1,84,84,84,ihvs,PM,0,664.417846679688,566.42615
1973,1610429902,16104299,1909,1909,1960,1960,hov3,87500,29166.666666666668,1,84,84,84,ihvs,PM,0,664.417846679688,566.42615
2008,1610431802,16104318,1121,1121,1231,1231,hov3,37500,12500,1,6,6,6,ilvi,PM,0,916.947265625,705.34407
2014,1610431803,16104318,1121,1121,1232,1232,hov3,37500,12500,1,6,6,6,ilvi,PM,0,916.947265625,705.34407
2022,1610431804,16104318,1121,1121,1231,1231,hov3,37500,12500,1,6,6,6,ilvi,PM,0,705.344055175781,705.34407
2037,1610431806,16104318,1121,1121,1351,1351,hov3,37500,12500,1,6,6,6,ilvi,PM,0,705.344055175781,705.34407
2044,1610431807,16104318,1121,1121,1231,1231,hov3,37500,12500,1,6,6,6,ilvi,PM,0,705.344055175781,705.34407
2050,1610431808,16104318,1121,1121,1232,1232,hov3,37500,12500,1,6,6,6,ilvi,PM,0,705.344055175781,705.34407
2140,1610439401,16104394,2429,2429,1675,1675,sov,37500,37500,1,2,2,2,ilvs,PM,0,66.8268814086914,52.2085
2231,1610468301,16104683,2159,2159,2389,2389,hov3,125000,62500,1,3,3,3,ihvs,NT,0,281.746917724609,233.33077
2237,1610468302,16104683,2159,2159,2389,2389,hov3,125000,62500,1,3,3,3,ihvs,NT,0,318.496490478516,233.33077
2249,1610468304,16104683,2159,2159,2389,2389,hov3,125000,62500,1,3,3,3,ihvs,NT,0,233.330764770508,233.33077
2336,1610487704,16104877,1088,1043,1088,1043,hov3,125000,62500,1,83,83,83,ihvs,PM,0,126.677192687988,126.67718
2384,1610495101,16104951,482,482,623,623,sov,200000,100000,0,7,7,7,ihvs,MD,0,269.326751708984,223.04492
2400,1610499201,16104992,2647,2647,1563,1563,sov,62500,62500,1,2,2,4,ilvs,PM,0,36.2392883300781,33.20441
2402,1610499201,16104992,2647,2048,2647,2048,sov,62500,62500,1,2,3,2,ilvs,PM,0,36.2392883300781,33.20441
2413,1610501703,16105017,2056,2056,3054,3054,sov,125000,62500,1,3,3,2,ihvs,MD,0,183.863723754883,183.86372
2456,1610513701,16105137,501,501,609,609,sov,87500,43750,1,7,7,7,ihvs,MD,0,33.8684959411621,33.20441
2488,1610520601,16105206,529,529,531,531,hov2,200000,100000,0,7,7,7,ihvs,AM,0,251.529373168945,214.98237
2562,1610540501,16105405,604,604,1124,1124,sov,125000,62500,1,7,7,6,ihvi,AM,0,64.4741592407227,61.40396
2564,1610540501,16105405,604,604,1124,1124,hov3,125000,62500,1,7,7,6,ihvi,MD,0,64.4741592407227,61.40396
2569,1610540502,16105405,604,604,1124,1124,hov3,125000,62500,1,7,7,6,ihvi,MD,0,64.4741592407227,61.40396
2590,1610551501,16105515,1782,1782,1618,1618,other_auto,62500,62500,1,4,4,3,ilvs,NT,0,62.2600555419922,46.95328
2627,1610563801,16105638,2304,2304,369,369,hov2,37500,18750,1,3,3,5,ilvi,AM,0,274.119689941406,238.36496
2630,1610563801,16105638,2304,2369,2304,2369,sov,37500,18750,1,3,2,3,ilvi,MD,0,274.119689941406,238.36496
2638,1610563801,16105638,2304,2269,2304,2269,hov2,37500,18750,1,3,3,3,ilvi,NT,0,274.119689941406,238.36496
2675,1610565301,16105653,3,1298,3,1298,hov3,200000,100000,0,84,6,84,ihvs,NT,0,59.1221656799316,50.53176
2671,1610565301,16105653,3,3,1347,1347,hov3,200000,100000,0,84,84,6,ihvs,PM,0,59.1221656799316,50.53176
2678,1610565302,16105653,3,3,1347,1347,hov3,200000,100000,0,84,84,6,ihvs,PM,0,50.5317649841309,50.53176
2686,1610565303,16105653,3,1298,3,1298,hov3,200000,100000,0,84,6,84,ihvs,NT,0,50.5317649841309,50.53176
2690,1610565304,16105653,3,3,1347,1347,hov3,200000,100000,0,84,84,6,ihvs,PM,0,50.5317649841309,50.53176
2761,1610602601,16106026,2703,2703,2707,2707,hov2,62500,31250,1,82,82,82,ilvs,MD,0,102.517883300781,77.31363
2831,1610623802,16106238,1145,1139,1145,1139,sov,200000,100000,0,6,6,6,ihvs,PM,0,86.6693954467773,82.54228
2849,1610627801,16106278,2463,2452,2463,2452,sov,125000,62500,1,2,2,2,ihvs,MD,0,82.7253112792969,60.60462
2847,1610627801,16106278,2463,2463,2517,2517,sov,125000,62500,1,2,2,2,ihvs,MD,0,82.7253112792969,60.60462
2898,1610635102,16106351,1832,1832,2048,2048,hov3,87500,43750,1,83,83,3,ihvs,AM,0,396.636444091797,299.12251
2900,1610635102,16106351,1832,1832,2048,2048,sov,87500,43750,1,83,83,3,ihvs,MD,0,396.636444091797,299.12251
2904,1610635104,16106351,1832,1832,2048,2048,hov3,87500,43750,1,83,83,3,ihvs,AM,0,299.122497558594,299.12251
2917,1610640501,16106405,2387,2387,1617,1617,hov2,200000,100000,0,3,3,3,ihvs,AM,0,291.943817138672,241.77542
2921,1610640501,16106405,2387,520,2387,520,sov,200000,100000,0,3,7,3,ihvs,MD,0,291.943817138672,241.77542
2919,1610640501,16106405,2387,2387,556,556,sov,200000,100000,0,3,3,7,ihvs,MD,0,291.943817138672,241.77542
2925,1610640501,16106405,2387,1617,2387,1617,hov2,200000,100000,0,3,3,3,ihvs,PM,0,291.943817138672,241.77542
2947,1610642201,16106422,1926,1931,1926,1931,sov,12500,12500,1,84,84,84,ilvs,MD,0,75.1446228027344,83.49402
2943,1610642201,16106422,1926,1926,2004,2004,sov,12500,12500,1,84,84,3,ilvs,MD,0,75.1446228027344,83.49402
2990,1610651901,16106519,2823,2823,2687,2687,hov2,62500,31250,1,82,82,82,ilvs,MD,0,33.8684959411621,33.20441
2996,1610651901,16106519,2823,2693,2823,2693,sov,62500,31250,1,82,82,82,ilvs,MD,0,33.8684959411621,33.20441
3004,1610651902,16106519,2823,2823,2820,2820,sov,62500,31250,1,82,82,82,ilvs,NT,0,36.2392883300781,33.20441
3165,1610681802,16106818,2476,2476,2427,2427,sov,37500,18750,1,2,2,2,ilvs,PM,0,41.9401702880859,67.00243
3167,1610681802,16106818,2476,2429,2476,2429,sov,37500,18750,1,2,2,2,ilvs,PM,0,64.5233383178711,67.00243
3173,1610688001,16106880,2150,1496,2150,1496,hov2,200000,100000,0,3,2,3,ihvs,PM,0,438.702117919922,363.31437
3184,1610688002,16106880,2150,2150,1496,1496,hov3,200000,100000,0,3,3,2,ihvs,MD,0,438.702117919922,363.31437
3190,1610688003,16106880,2150,2150,1496,1496,hov3,200000,100000,0,3,3,2,ihvs,MD,0,363.314361572266,363.31437
3205,1610688005,16106880,2150,2150,1496,1496,hov3,200000,100000,0,3,3,2,ihvs,MD,0,363.314361572266,363.31437
3260,1610700002,16107000,1176,1176,1187,1187,hov2,87500,43750,1,81,81,81,ihvs,PM,0,364.341918945313,310.60693
3269,1610700004,16107000,1176,1176,1176,1176,hov2,87500,43750,1,81,81,81,ihvs,PM,0,310.60693359375,310.60693
3276,1610700004,16107000,1176,1176,1176,1176,hov2,87500,43750,1,81,81,81,ihvs,NT,0,310.60693359375,310.60693
3271,1610700004,16107000,1176,1176,1187,1187,hov2,87500,43750,1,81,81,81,ihvs,PM,0,310.60693359375,310.60693
3295,1610700704,16107007,1075,1075,1075,1075,hov2,12500,12500,1,83,83,83,ilvs,MD,0,100.204109191895,100.20411
3329,1610714501,16107145,1668,1670,1668,1670,sov,12500,12500,1,2,2,2,ilvs,NT,0,98.6169052124023,95.28203
3356,1610724801,16107248,361,361,324,324,sov,12500,12500,1,5,5,5,ilvs,AM,0,44.8259468078613,33.20441
3402,1610731301,16107313,1618,1618,1683,1683,sov,62500,62500,1,3,3,2,ilvs,PM,0,54.5574264526367,41.14436
3479,1610753502,16107535,2410,2410,514,514,hov3,37500,18750,1,7,7,7,ilvi,PM,0,72.7453231811523,55.95794
3483,1610755301,16107553,2231,2231,2247,2247,sov,37500,37500,1,3,3,3,ilvs,PM,0,52.2084999084473,52.2085
3491,1610757801,16107578,898,898,898,898,hov3,37500,18750,1,83,83,83,ilvs,MD,0,353.394104003906,271.84163
3493,1610757801,16107578,898,898,898,898,hov2,37500,18750,1,83,83,83,ilvs,MD,0,452.344482421875,271.84163
3510,1610757805,16107578,898,898,898,898,hov3,37500,18750,1,83,83,83,ilvs,MD,0,271.841613769531,271.84163
3512,1610757805,16107578,898,898,898,898,hov2,37500,18750,1,83,83,83,ilvs,MD,0,271.841613769531,271.84163
3579,1610772501,16107725,1649,1649,1477,1477,hov3,87500,43750,1,2,2,2,ihvs,NT,0,88.8094711303711,66.97547
3586,1610772502,16107725,1649,1649,1477,1477,sov,87500,43750,1,2,2,2,ihvs,NT,0,88.8094711303711,66.97547
3596,1610772504,16107725,1649,1649,1477,1477,hov3,87500,43750,1,2,2,2,ihvs,PM,0,66.9754638671875,66.97547
3598,1610772504,16107725,1649,1649,1477,1477,hov3,87500,43750,1,2,2,2,ihvs,NT,0,66.9754638671875,66.97547
3664,1610787901,16107879,2927,2927,2935,2935,other_auto,62500,62500,1,81,81,81,ilvs,AM,0,41.722957611084,35.66065
3710,1610793301,16107933,1604,1604,1608,1608,sov,37500,37500,1,4,4,4,ilvs,NT,0,263.111755371094,228.79283
3722,1610793303,16107933,1604,1604,1608,1608,sov,37500,37500,1,4,4,4,ilvs,NT,0,228.792831420898,228.79283
3726,1610793304,16107933,1604,1604,1641,1641,hov3,37500,37500,1,4,4,2,ilvs,NT,0,228.792831420898,228.79283
3729,1610793304,16107933,1604,1604,1608,1608,sov,37500,37500,1,4,4,4,ilvs,NT,0,228.792831420898,228.79283
3749,1610797801,16107978,2566,2566,NA,NA,hov2,37500,18750,1,2,2,NA,ilvs,AM,0,51.2640914916992,51.26409
3784,1610806801,16108068,2619,2619,2619,2619,sov,62500,62500,1,82,82,82,ilvs,NT,0,141.235656738281,129.40778
3870,1610825702,16108257,121,121,2369,2369,hov2,125000,62500,1,5,5,2,ihvs,MD,0,41.5088920593262,30.40944
4016,1610856101,16108561,998,998,951,951,sov,37500,9375,1,83,83,83,ilvs,MD,0,1049.99377441406,1049.99381
4044,1610859301,16108593,2585,3071,2585,3071,sov,87500,43750,1,82,2,82,ihvs,MD,0,33.8684959411621,33.20441
4078,1610867901,16108679,1662,1662,1460,1460,sov,37500,18750,1,2,2,2,ilvs,MD,0,92.2297134399414,87.83782
4080,1610867902,16108679,1662,1662,2430,2430,sov,37500,18750,1,2,2,2,ilvs,MD,0,92.2297134399414,87.83782
4101,1610872401,16108724,1651,1486,1651,1486,sov,37500,18750,1,2,2,2,ilvi,NT,0,37.8260612487793,29.09697
4099,1610872401,16108724,1651,1651,3032,3032,hov3,37500,18750,1,2,2,2,ilvi,NT,0,37.8260612487793,29.09697
4106,1610872402,16108724,1651,1486,1651,1486,lb,37500,18750,1,2,2,2,ilvi,NT,0,37.8260612487793,29.09697
4104,1610872402,16108724,1651,1651,3032,3032,hov3,37500,18750,1,2,2,2,ilvi,NT,0,37.8260612487793,29.09697
4124,1610877201,16108772,2405,2405,424,424,hov3,37500,37500,1,7,7,7,ilvs,NT,0,148.570785522461,114.28522
4132,1610877201,16108772,2641,3029,2641,3029,sov,37500,37500,1,2,5,2,ilvs,NT,0,148.570785522461,114.28522
4139,1610878101,16108781,2426,2426,2596,2596,sov,125000,62500,1,2,2,82,ihvs,AM,0,72.3579177856445,68.91231
4187,1610882903,16108829,127,628,127,628,hov2,125000,62500,1,5,7,5,ihvs,PM,0,110.434646606445,110.43464
4216,1610885701,16108857,1740,1740,1879,1879,sov,200000,100000,0,4,4,3,ihvs,MD,0,34.8646278381348,33.20441
4236,1610886901,16108869,1459,2661,1459,2661,sov,62500,62500,1,2,2,2,ilvs,NT,0,19.991626739502,19.59963
4272,1610893401,16108934,2451,2451,2449,2449,hov2,62500,62500,1,2,2,2,ilvs,PM,0,44.5470008850098,33.59502
4315,1610902401,16109024,2448,2448,2448,2448,sov,200000,100000,0,2,2,2,ihvs,NT,0,116.471160888672,110.92492
4342,1610906701,16109067,2066,2066,2065,2065,hov2,37500,37500,1,84,84,84,ilvs,AM,0,233.579010009766,218.29814
4349,1610906802,16109068,2568,2732,2568,2732,sov,62500,20833.333333333332,1,2,82,2,ilvs,MD,0,144.089050292969,108.66444
4446,1610924802,16109248,1947,1947,1864,1864,sov,125000,62500,1,84,84,3,ihvs,MD,0,129.230865478516,94.67463
4515,1610934002,16109340,2010,2152,2010,2152,sov,87500,43750,1,84,3,84,ihvs,NT,0,507.145324707031,432.34895
4534,1610936303,16109363,2767,2768,2767,2768,hov3,62500,31250,1,82,82,82,ilvs,PM,0,128.174880981445,128.17489
4537,1610936304,16109363,2767,2768,2767,2768,hov3,62500,31250,1,82,82,82,ilvs,PM,0,128.174880981445,128.17489
4591,1610940001,16109400,2671,2671,2669,2669,hov2,87500,43750,1,2,2,2,ihvs,NT,0,68.3169784545898,51.5211
4596,1610940002,16109400,2671,2671,2669,2669,hov2,87500,43750,1,2,2,2,ihvs,NT,0,68.3169784545898,51.5211
4650,1610948602,16109486,2160,2160,503,503,sov,200000,100000,0,3,3,7,ihvs,AM,0,98.2033309936523,87.40839
4681,1610958701,16109587,1700,1700,1699,1699,sov,125000,62500,1,2,2,2,ihvs,AM,0,116.2908299763996,93.33132
4695,1610960901,16109609,2484,2484,2514,2514,sov,62500,62500,1,2,2,2,ilvs,MD,0,150.631637573242,147.67808
4739,1610963703,16109637,2774,2774,2772,2772,hov2,200000,66666.66666666667,1,82,82,82,ihvi,PM,0,151.033630371094,95.89437
4750,1610964102,16109641,1264,1264,NA,NA,hov2,87500,43750,1,81,81,NA,ihvs,PM,0,141.50505065918,106.71573
4757,1610964104,16109641,1264,1264,NA,NA,hov2,87500,43750,1,81,81,NA,ihvs,PM,0,106.715728759766,106.71573
4778,1610969601,16109696,2114,2114,2147,2147,hov2,200000,66666.66666666667,1,3,3,3,ihvs,PM,0,468.192443847656,387.737
4780,1610969601,16109696,2114,2114,2147,2147,hov2,200000,66666.66666666667,1,3,3,3,ihvs,NT,0,468.192443847656,387.737
4782,1610969601,16109696,2114,2114,1873,1873,hov3,200000,66666.66666666667,1,3,3,3,ihvs,NT,0,599.286315917969,387.737
4802,1610969605,16109696,2114,2114,2147,2147,hov2,200000,66666.66666666667,1,3,3,3,ihvs,NT,0,387.736999511719,387.737
4804,1610969605,16109696,2114,2114,1873,1873,hov3,200000,66666.66666666667,1,3,3,3,ihvs,NT,0,387.736999511719,387.737
4844,1610971703,16109717,1842,1842,1431,1431,hov2,125000,62500,1,83,83,2,ihvs,NT,0,183.863723754883,183.86372
4871,1610977401,16109774,33,33,563,563,sov,200000,200000,0,7,7,1,ihvs,MD,0,48.8788299560547,62.15122
4873,1610977401,16109774,33,2377,33,2377,sov,200000,200000,0,7,3,7,ihvs,MD,0,69.8268966674805,62.15122
4916,1610993801,16109938,1320,1320,1293,1293,hov2,125000,62500,1,6,6,6,ihvi,PM,0,59.5942802429199,53.04342
4937,1610996901,16109969,1744,1744,1034,1034,sov,62500,31250,1,4,4,83,ilvi,PM,0,33.8684959411621,33.20441
4939,1610998701,16109987,2585,2585,2734,2734,sov,62500,62500,1,82,82,82,ilvs,MD,0,43.5820388793945,46.95328
4985,1611007202,16110072,1998,1997,1998,1997,hov3,87500,43750,1,84,3,84,ihvs,NT,0,126.107978820801,95.10406
4988,1611007203,16110072,1998,1997,1998,1997,hov3,87500,43750,1,84,3,84,ihvs,NT,0,95.1040573120117,95.10406
4991,1611007204,16110072,1998,1997,1998,1997,hov3,87500,43750,1,84,3,84,ihvs,NT,0,95.1040573120117,95.10406
5085,1611027001,16110270,2768,2768,2732,2732,sov,125000,62500,1,82,82,82,ihvs,MD,0,369.120391845703,305.68976
5089,1611027001,16110270,2768,2768,2741,2741,hov3,125000,62500,1,82,82,82,ihvs,NT,0,369.120391845703,305.68976
5091,1611027001,16110270,2768,2768,2741,2741,sov,125000,62500,1,82,82,82,ihvs,NT,0,369.120391845703,305.68976
5210,1611041901,16110419,3093,3093,2585,2585,sov,62500,62500,1,NA,NA,82,ilvs,MD,0,33.8684959411621,33.20441
5225,1611048801,16110488,1086,1086,NA,NA,hov2,87500,43750,1,83,83,NA,ihvi,MD,0,228.92219543457,224.43352
5227,1611048802,16110488,1086,1086,NA,NA,hov2,87500,43750,1,83,83,NA,ihvi,MD,0,228.92219543457,224.43352
5267,1611059002,16110590,1110,1110,19,19,sov,125000,62500,1,6,6,84,ihvs,MD,0,34.8650360107422,33.2048
5279,1611060402,16110604,2355,2355,2377,2377,hov2,87500,43750,1,3,3,3,ihvs,NT,0,132.667175292969,97.19207
5281,1611060402,16110604,2355,2355,2377,2377,sov,87500,43750,1,3,3,3,ihvs,NT,0,132.667175292969,97.19207
5349,1611084401,16110844,1447,1446,1447,1446,sov,200000,200000,0,2,2,2,ihvs,PM,0,45.348991394043,33.22271
5357,1611089601,16110896,439,579,439,579,sov,87500,43750,1,5,1,5,ihvs,NT,0,163.780853271484,139.62562
5358,1611089601,16110896,439,439,579,579,sov,87500,43750,1,5,5,1,ihvs,MD,0,163.780853271484,139.62562
5389,1611096101,16110961,4,4,19,19,sov,87500,87500,0,84,84,84,ihvs,MD,0,33.8688926696777,33.2048
5492,1611117701,16111177,1777,1777,1782,1782,sov,37500,37500,1,83,83,4,ilvs,NT,0,278.249755859375,278.24975
