"TAZ","access_nearby_sov","access_transit","access_walk","N_NH_K12_All_sov_AM","N_NH_K12_All_sov_MD","N_NH_K12_All_sov_PM","N_NH_K12_All_sov_NT","N_NH_K12_All_hov2_AM","N_NH_K12_All_hov2_MD","N_NH_K12_All_hov2_PM","N_NH_K12_All_hov2_NT","N_NH_K12_All_hov3_AM","N_NH_K12_All_hov3_MD","N_NH_K12_All_hov3_PM","N_NH_K12_All_hov3_NT","N_NH_K12_All_walkbike_AM","N_NH_K12_All_walkbike_MD","N_NH_K12_All_walkbike_PM","N_NH_K12_All_walkbike_NT","N_NH_OME_All_sov_AM","N_NH_OME_All_sov_MD","N_NH_OME_All_sov_PM","N_NH_OME_All_sov_NT","N_NH_OME_All_hov2_AM","N_NH_OME_All_hov2_MD","N_NH_OME_All_hov2_PM","N_NH_OME_All_hov2_NT","N_NH_OME_All_hov3_AM","N_NH_OME_All_hov3_MD","N_NH_OME_All_hov3_PM","N_NH_OME_All_hov3_NT","N_NH_OME_All_walkbike_AM","N_NH_OME_All_walkbike_MD","N_NH_OME_All_walkbike_PM","N_NH_OME_All_walkbike_NT","N_NH_OME_All_t_AM","N_NH_OME_All_t_MD","N_NH_OME_All_t_PM","N_NH_OME_All_t_NT","N_NH_O_All_sov_AM","N_NH_O_All_sov_MD","N_NH_O_All_sov_PM","N_NH_O_All_sov_NT","N_NH_O_All_hov2_AM","N_NH_O_All_hov2_MD","N_NH_O_All_hov2_PM","N_NH_O_All_hov2_NT","N_NH_O_All_hov3_AM","N_NH_O_All_hov3_MD","N_NH_O_All_hov3_PM","N_NH_O_All_hov3_NT","N_NH_O_All_auto_pay_AM","N_NH_O_All_auto_pay_MD","N_NH_O_All_auto_pay_PM","N_NH_O_All_auto_pay_NT","N_NH_O_All_walkbike_AM","N_NH_O_All_walkbike_MD","N_NH_O_All_walkbike_PM","N_NH_O_All_walkbike_NT","N_NH_O_All_t_AM","N_NH_O_All_t_MD","N_NH_O_All_t_PM","N_NH_O_All_t_NT","W_NH_EK12_All_sov_AM","W_NH_EK12_All_sov_MD","W_NH_EK12_All_sov_PM","W_NH_EK12_All_sov_NT","W_NH_EK12_All_hov2_AM","W_NH_EK12_All_hov2_MD","W_NH_EK12_All_hov2_PM","W_NH_EK12_All_hov2_NT","W_NH_EK12_All_hov3_AM","W_NH_EK12_All_hov3_MD","W_NH_EK12_All_hov3_PM","W_NH_EK12_All_hov3_NT","W_NH_EK12_All_walkbike_AM","W_NH_EK12_All_walkbike_MD","W_NH_EK12_All_walkbike_PM","W_NH_EK12_All_walkbike_NT","W_NH_O_All_sov_AM","W_NH_O_All_sov_MD","W_NH_O_All_sov_PM","W_NH_O_All_sov_NT","W_NH_O_All_hov2_AM","W_NH_O_All_hov2_MD","W_NH_O_All_hov2_PM","W_NH_O_All_hov2_NT","W_NH_O_All_hov3_AM","W_NH_O_All_hov3_MD","W_NH_O_All_hov3_PM","W_NH_O_All_hov3_NT","W_NH_O_All_walkbike_AM","W_NH_O_All_walkbike_MD","W_NH_O_All_walkbike_PM","W_NH_O_All_walkbike_NT","W_NH_O_All_t_AM","W_NH_O_All_t_MD","W_NH_O_All_t_PM","W_NH_O_All_t_NT","W_NH_WR_All_sov_AM","W_NH_WR_All_sov_MD","W_NH_WR_All_sov_PM","W_NH_WR_All_sov_NT","W_NH_WR_All_hov2_AM","W_NH_WR_All_hov2_MD","W_NH_WR_All_hov2_PM","W_NH_WR_All_hov2_NT","W_NH_WR_All_hov3_AM","W_NH_WR_All_hov3_MD","W_NH_WR_All_hov3_PM","W_NH_WR_All_hov3_NT","W_NH_WR_All_auto_pay_AM","W_NH_WR_All_auto_pay_MD","W_NH_WR_All_auto_pay_PM","W_NH_WR_All_auto_pay_NT","W_NH_WR_All_walkbike_AM","W_NH_WR_All_walkbike_MD","W_NH_WR_All_walkbike_PM","W_NH_WR_All_walkbike_NT"
932,6.51522,0.00,0.00,0.0210453,0.0467851,0.0417072,0.0476014,0.0484502,0.10652,0.0953276,0.107394,0.098411,0.211215,0.190634,0.207935,0.00,0.00,0.00,0.00,0.738327,2.59543,1.82087,2.08105,1.14108,3.34878,2.5433,2.97009,0.48941,1.62855,1.17912,1.39165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.730043,1.6892,1.47244,1.69767,0.918093,1.93591,1.72691,1.74149,0.43546,0.965472,0.857955,0.951288,0.00122383,0.00324979,0.00273767,0.00380705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0700108,0.0548781,0.104558,0.123469,0.0738504,0.0683126,0.139563,0.180886,0.0402334,0.0367705,0.0755679,0.0978083,0.00,0.00,0.00,0.00,2.24775,2.05391,4.22138,5.4637,0.467871,0.411752,0.828158,1.04923,0.213768,0.189019,0.381658,0.485021,0.562555,0.490884,0.96531,1.20743,0.00,0.00,0.00,0.00,0.202216,0.163828,0.317901,0.384231,0.050599,0.0462274,0.0950177,0.122979,0.0551664,0.0432943,0.0824672,0.0973755,0.00429094,0.00392187,0.00806121,0.0104347,0.0533084,0.041261,0.0761933,0.0875643
933,6.31112,0.00,0.00,0.0200297,0.045955,0.0404619,0.0476938,0.0436123,0.0989676,0.0874647,0.101835,0.0860187,0.190103,0.16955,0.190922,0.00,0.00,0.00,0.00,0.817324,3.94743,2.4394,2.82147,1.18862,4.33291,2.97029,3.51115,0.520715,2.2709,1.46642,1.7422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.693301,1.71795,1.4487,1.72006,0.773699,1.73051,1.48576,1.52669,0.385664,0.90594,0.783726,0.897874,0.0016991,0.00451627,0.00379951,0.00527598,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0983759,0.0798545,0.153526,0.185204,0.102846,0.0953636,0.194169,0.251802,0.0627205,0.0579587,0.118193,0.153217,0.00,0.00,0.00,0.00,3.50357,3.23701,6.60159,8.55775,0.684717,0.610971,1.2259,1.56098,0.326814,0.294111,0.591592,0.756056,0.653395,0.565772,1.11407,1.3926,0.00,0.00,0.00,0.00,0.290425,0.242884,0.474041,0.582789,0.0788582,0.0728464,0.148574,0.192597,0.078624,0.0636545,0.122119,0.14695,0.00670409,0.00619503,0.0126337,0.0163802,0.0657039,0.0535437,0.10232,0.123052
934,6.23869,0.00,0.00,0.0176651,0.0396179,0.0351597,0.0403224,0.0385376,0.0854696,0.0761436,0.0861793,0.0777484,0.168229,0.151175,0.165639,0.00,0.00,0.00,0.00,0.641021,2.46658,1.63471,1.855,0.984026,3.08414,2.20246,2.53681,0.405445,1.46111,1.00423,1.17567,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5993,1.41439,1.21587,1.40543,0.740367,1.60656,1.38541,1.3901,0.341396,0.768462,0.677471,0.755323,0.00106657,0.00283266,0.00238357,0.00331186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0703899,0.0574982,0.111075,0.134472,0.0802485,0.074524,0.151749,0.196743,0.0460582,0.0424532,0.0867478,0.11237,0.00,0.00,0.00,0.00,2.57309,2.37128,4.84577,6.27699,0.510908,0.456598,0.918044,1.16956,0.23849,0.214479,0.432484,0.552679,0.542512,0.479702,0.94819,1.19478,0.00,0.00,0.00,0.00,0.209088,0.175687,0.344362,0.424466,0.057921,0.0533691,0.109069,0.141281,0.0566061,0.0460288,0.0886443,0.10692,0.00489723,0.0045142,0.00922596,0.0119515,0.0522027,0.042014,0.0791065,0.0936383
935,7.27349,0.00,0.72065,0.0499187,0.11395,0.100729,0.117518,0.114271,0.25784,0.228818,0.263572,0.229443,0.504403,0.451694,0.503241,0.104333,0.133475,0.121568,0.106353,2.65389,15.4035,8.93694,10.2318,3.50106,15.0519,9.60116,11.1599,1.68249,8.92564,5.35657,6.25965,0.827426,4.87371,2.8136,3.15888,0.00,0.00,0.00,0.00,1.88444,4.83346,4.00242,4.69817,2.27942,5.28055,4.43131,4.51798,1.10286,2.65523,2.26959,2.57481,0.00696908,0.0185523,0.0156078,0.0216647,1.24137,4.40967,3.09054,3.28628,0.00,0.00,0.00,0.00,0.273627,0.224974,0.435119,0.526792,0.306588,0.285949,0.582858,0.754552,0.179573,0.166545,0.340465,0.440382,0.00,0.00,0.00,0.00,10.0283,9.299,19.0113,24.5902,1.9796,1.77815,3.57735,4.55103,0.935762,0.846876,1.70847,2.18072,2.01561,1.78166,3.52384,4.42971,0.00,0.00,0.00,0.00,0.812453,0.687023,1.34795,1.6608,0.225659,0.209211,0.427755,0.553272,0.221135,0.180812,0.348458,0.420063,0.0195397,0.0181256,0.0370624,0.0479361,0.192729,0.157314,0.299312,0.357551
936,6.7521,0.00,0.00,0.0105528,0.0236388,0.0210498,0.0240221,0.0243765,0.0540116,0.0482767,0.0544004,0.0495832,0.107224,0.0966632,0.105447,0.00,0.00,0.00,0.00,0.441325,2.03012,1.27475,1.4502,0.635735,2.25445,1.55799,1.80091,0.28474,1.20919,0.787365,0.919077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.376705,0.90756,0.775249,0.892785,0.478635,1.04913,0.91204,0.917944,0.224718,0.513561,0.450238,0.499614,0.000759258,0.00201885,0.00170184,0.00236202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0315035,0.0271729,0.0541767,0.0674371,0.0398118,0.0368233,0.0756102,0.0975498,0.0245918,0.0226853,0.0466505,0.0601575,0.00,0.00,0.00,0.00,1.37371,1.26697,2.60564,3.36002,0.252341,0.229348,0.467958,0.598776,0.122356,0.11179,0.228254,0.292541,0.221633,0.198432,0.400025,0.507196,0.00,0.00,0.00,0.00,0.0976577,0.0856977,0.172375,0.216708,0.0309197,0.028512,0.0586421,0.075619,0.0248794,0.0214716,0.0427883,0.053249,0.00262903,0.00242518,0.00498898,0.00643315,0.0214199,0.0183893,0.0363809,0.0450172
937,6.76072,0.00,0.00,0.00854564,0.0194408,0.0172108,0.0199909,0.0194752,0.0438055,0.0389295,0.0446446,0.0390358,0.085583,0.0767382,0.0851316,0.00,0.00,0.00,0.00,0.381147,1.87967,1.14493,1.30861,0.545877,2.04445,1.36649,1.58603,0.245575,1.10722,0.701307,0.822073,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.308108,0.762234,0.642536,0.751626,0.373038,0.840609,0.713377,0.722592,0.179061,0.418634,0.363376,0.410179,0.000729307,0.00194281,0.00163495,0.00226911,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0431113,0.0353115,0.0684045,0.08249,0.0444872,0.041199,0.0844434,0.109017,0.0281033,0.0259977,0.053318,0.0688205,0.00,0.00,0.00,0.00,1.56991,1.45202,2.97814,3.84401,0.302124,0.270017,0.545074,0.691322,0.145798,0.131584,0.266243,0.33902,0.265444,0.228525,0.452799,0.562548,0.00,0.00,0.00,0.00,0.127923,0.107792,0.211911,0.260198,0.0353365,0.0326774,0.0670275,0.0865139,0.034652,0.0282616,0.0545838,0.0655891,0.00300875,0.00278378,0.0057105,0.00737044,0.0272171,0.0226013,0.0440204,0.0534973
938,7.86099,0.00,1.21274,0.0435471,0.0973673,0.0869077,0.0979666,0.108129,0.239376,0.214404,0.238899,0.224431,0.485222,0.438254,0.472998,0.122143,0.148714,0.135041,0.116569,1.68049,5.21768,3.86653,4.36662,2.57083,7.06112,5.52446,6.37216,1.15949,3.50001,2.65078,3.10404,0.762923,4.26223,2.51385,2.82047,0.00,0.00,0.00,0.00,1.67001,3.84508,3.37353,3.84155,2.30557,4.87515,4.35467,4.3511,1.07321,2.37805,2.12386,2.32927,0.00570625,0.0152099,0.0128053,0.0177731,1.22808,4.05751,2.93812,3.10093,0.00,0.00,0.00,0.00,0.127643,0.105633,0.205411,0.247496,0.18593,0.176585,0.358778,0.463758,0.0837353,0.0781972,0.16069,0.2068,0.00,0.00,0.00,0.00,4.67498,4.36488,8.97039,11.5442,1.01103,0.924142,1.86669,2.37347,0.43638,0.398412,0.808377,1.02761,1.57436,1.46092,2.89766,3.69418,0.00,0.00,0.00,0.00,0.378673,0.322285,0.635729,0.779413,0.105171,0.0981755,0.201781,0.259671,0.101286,0.0838196,0.16285,0.196072,0.00910834,0.00850519,0.017483,0.0224989,0.129685,0.100423,0.179984,0.200413
939,7.90956,0.00,1.20339,5.39668,3.52057,3.04584,2.04973,11.6239,7.62584,6.60037,4.46214,19.1152,12.6587,10.9698,7.4607,4.98224,3.18742,2.7603,1.80135,3.56917,10.4276,8.04572,9.32059,5.56339,14.7336,11.9433,14.1963,2.53638,7.24361,5.69375,6.84318,0.552148,2.31701,1.5045,1.63523,0.00,0.00,0.00,0.00,3.66838,8.52079,7.46323,8.71276,4.66509,9.81353,8.84559,8.98796,25.6551,19.713,17.1581,13.2034,0.0135063,0.0358833,0.0302987,0.0420405,1.34324,3.37648,2.77107,2.76443,0.00,0.00,0.00,0.00,74.1531,8.65892,37.0821,20.0852,25.1521,3.06317,12.8162,7.19228,9.76804,1.22828,5.04448,2.89763,0.00,0.00,0.00,0.00,32.451,10.0124,27.0138,25.5827,1.68625,1.46514,2.91211,3.62699,0.789152,0.69458,1.38744,1.73897,1.85439,1.53319,2.95378,3.56383,0.00,0.00,0.00,0.00,10.5686,1.76334,6.06641,4.02408,0.174206,0.161775,0.331794,0.427945,0.238571,0.179708,0.332432,0.376046,0.0150166,0.0139491,0.0286176,0.0369101,0.193024,0.147312,0.272255,0.309482
940,7.27843,0.00,0.0473099,0.0411733,0.0931931,0.0827623,0.0953597,0.0997568,0.22358,0.199263,0.226932,0.202727,0.44326,0.39852,0.43897,0.0396732,0.059912,0.0550994,0.0499695,3.59834,29.655,15.6783,17.8791,3.97699,25.1614,14.188,16.2968,2.19861,16.8749,9.10196,10.4845,0.525352,3.52966,1.95471,2.18308,0.00,0.00,0.00,0.00,1.63746,4.86685,3.74301,4.33749,2.06396,5.42684,4.28369,4.38832,0.984649,2.6419,2.1354,2.39601,0.00392485,0.010461,0.00881583,0.0122503,0.755781,2.99182,2.00477,2.12173,0.00,0.00,0.00,0.00,0.693943,0.505822,0.921683,1.01178,0.434226,0.402868,0.829976,1.06859,0.27256,0.252504,0.520698,0.670172,0.00,0.00,0.00,0.00,15.2174,14.0946,29.0678,37.4114,3.47718,2.94934,5.8352,7.16099,1.63979,1.41655,2.82138,3.49518,3.66778,2.87817,5.46051,6.36345,0.00,0.00,0.00,0.00,1.87153,1.41863,2.64758,3.00709,0.342347,0.31702,0.653862,0.841528,0.556501,0.405017,0.73656,0.806317,0.029319,0.0271664,0.0560404,0.0721212,0.410083,0.305651,0.563492,0.630036
941,7.22704,0.00,0.2361,3.75325,2.43423,2.10398,1.40953,7.73596,5.04195,4.35961,2.93221,12.6569,8.31879,7.20088,4.86979,3.06065,1.94515,1.68222,1.09405,1.90857,4.3611,3.85359,4.49746,3.09858,7.23829,6.34787,7.61613,1.33763,3.15599,2.75839,3.35098,0.222785,0.65172,0.498059,0.51987,0.00,0.00,0.00,0.00,2.15475,4.92219,4.34981,5.075,2.65416,5.47493,5.01607,5.10417,16.2182,12.1778,10.5982,8.03524,0.00599359,0.0159841,0.0134469,0.0186561,0.67849,1.45112,1.29356,1.25147,0.00,0.00,0.00,0.00,61.9474,7.1633,30.7332,16.6235,20.9668,2.48732,10.5218,5.81794,8.13163,0.988314,4.12149,2.32004,0.00,0.00,0.00,0.00,24.9217,6.29336,18.2582,15.8893,0.910961,0.786965,1.55926,1.94505,0.432006,0.378903,0.754506,0.947989,0.915932,0.73745,1.41042,1.68513,0.00,0.00,0.00,0.00,8.60372,1.28573,4.69591,2.94608,0.0956845,0.0886193,0.181209,0.234363,0.131279,0.0984666,0.181495,0.20577,0.00819483,0.007594,0.0155264,0.0200834,0.0998946,0.0765415,0.142658,0.164446
942,6.90456,0.00,0.00,0.0184824,0.0413278,0.0367146,0.0419676,0.0423596,0.0936326,0.0835111,0.0942123,0.0862053,0.185909,0.16725,0.18264,0.00,0.00,0.00,0.00,0.72442,2.73329,1.81767,2.05295,1.10117,3.40913,2.43211,2.7851,0.470648,1.66476,1.14869,1.33957,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.664637,1.56181,1.344,1.5481,0.857609,1.85873,1.598,1.59613,0.394821,0.884532,0.781268,0.868128,0.00149564,0.00398792,0.00335235,0.00463648,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0703746,0.0563269,0.107946,0.128875,0.072427,0.0670247,0.13675,0.17688,0.0430945,0.0396697,0.08114,0.10487,0.00,0.00,0.00,0.00,2.40728,2.21559,4.5321,5.85751,0.481975,0.426589,0.85615,1.08414,0.227263,0.202902,0.408537,0.519378,0.485371,0.419396,0.825355,1.0281,0.00,0.00,0.00,0.00,0.205934,0.170081,0.331297,0.403766,0.0541834,0.0498607,0.102,0.131829,0.0568522,0.0452609,0.0864252,0.102717,0.00464993,0.00428221,0.00876045,0.0113221,0.0476678,0.0382519,0.0726339,0.0862322
943,8.02798,0.00,1.38449,0.100347,0.230733,0.203483,0.237086,0.245296,0.55793,0.493875,0.568589,0.496069,1.09951,0.9821,1.09345,0.157893,0.206727,0.188397,0.165571,11.1132,95.0805,49.11,55.5996,12.0285,79.0991,42.7365,48.3188,6.79059,54.5261,28.657,32.7427,1.52341,10.6258,5.68478,6.28931,0.00,0.00,0.00,0.00,4.32955,13.6514,10.133,11.7812,5.6683,16.0715,11.6998,11.8332,2.5798,7.29573,5.74843,6.51504,0.0166491,0.04444,0.037387,0.0518781,2.13662,9.26153,5.9821,6.37142,0.00,0.00,0.00,0.00,1.3023,0.973934,1.7802,2.00696,0.922065,0.864294,1.75758,2.27694,0.569814,0.533005,1.08506,1.40526,0.00,0.00,0.00,0.00,31.8157,29.7543,60.5773,78.4521,7.10683,6.12897,12.0337,14.9424,3.33717,2.92994,5.78906,7.25191,7.29671,5.91446,11.2446,13.4335,0.00,0.00,0.00,0.00,3.5725,2.77993,5.19591,6.04389,0.715803,0.669293,1.36274,1.76482,1.07273,0.796349,1.44795,1.62001,0.0619926,0.0579765,0.118075,0.152919,0.790799,0.603715,1.11207,1.2708
944,8.06692,0.00,1.51173,0.0376998,0.0859806,0.0762167,0.0874728,0.0932769,0.210616,0.18735,0.212575,0.1911,0.420789,0.377616,0.414484,0.105577,0.12573,0.113932,0.0977153,2.94979,21.6091,11.6479,13.1785,3.5042,19.2164,11.0783,12.5769,1.87261,12.7623,7.03953,8.07243,0.716181,4.39705,2.48585,2.77736,0.00,0.00,0.00,0.00,1.55616,4.353,3.44162,3.96831,2.08865,5.27784,4.16957,4.19537,0.962338,2.46954,2.04611,2.28747,0.00579496,0.0154893,0.0130256,0.0180686,1.05408,3.96986,2.71893,2.89638,0.00,0.00,0.00,0.00,0.369118,0.290712,0.548719,0.637601,0.342357,0.323395,0.660274,0.851228,0.197777,0.185886,0.380862,0.490299,0.00,0.00,0.00,0.00,11.0418,10.3758,21.261,27.3696,2.31346,2.06617,4.13326,5.1857,1.08469,0.978857,1.96566,2.47739,2.54825,2.20142,4.29796,5.28676,0.00,0.00,0.00,0.00,1.04953,0.856954,1.64864,1.9644,0.2484,0.233371,0.478242,0.615634,0.294713,0.231812,0.43682,0.506609,0.0214464,0.0201529,0.0413053,0.0531694,0.252376,0.199067,0.37108,0.427844
945,7.86791,0.00,0.00,0.047165,0.110539,0.096749,0.116736,0.111913,0.259339,0.227831,0.271691,0.219115,0.49458,0.438443,0.505763,0.00,0.00,0.00,0.00,4.35572,33.9102,17.8169,20.3263,5.07041,29.2841,16.2797,18.6325,2.6935,19.1926,10.3569,11.9783,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98808,5.94151,4.52875,5.42745,2.3405,6.46902,4.71054,4.82319,1.13473,3.09801,2.49015,2.91363,0.0060298,0.0160998,0.0135532,0.0188058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79092,1.15234,1.9373,1.86889,0.468074,0.432275,0.889098,1.14456,0.299417,0.276442,0.568672,0.732027,0.00,0.00,0.00,0.00,16.7268,15.4403,31.765,40.8892,5.7917,4.36991,8.13693,9.2485,2.56642,1.9913,3.75957,4.35981,7.86116,5.33091,9.30251,9.57451,0.00,0.00,0.00,0.00,4.41818,2.92863,5.0313,5.04272,0.376517,0.347492,0.714943,0.920291,1.41593,0.91235,1.5332,1.47773,0.0323797,0.0299076,0.0615171,0.0792092,0.981633,0.643316,1.09637,1.08363
946,7.99955,0.00,1.15866,0.0732174,0.167393,0.147857,0.171837,0.179127,0.405294,0.359252,0.412672,0.363414,0.801437,0.716792,0.79623,0.140547,0.17119,0.155365,0.134168,6.56271,52.599,27.799,31.653,7.32575,44.5375,25.0959,28.7548,4.08817,30.4926,16.4562,18.9504,1.06426,7.01494,3.86152,4.30234,0.00,0.00,0.00,0.00,3.0546,8.98565,6.92683,8.07432,3.90224,10.2636,7.9871,8.15958,1.85451,4.96033,4.01358,4.53942,0.0136602,0.0364205,0.0306177,0.0425056,1.58124,6.30816,4.20767,4.46701,0.00,0.00,0.00,0.00,0.592336,0.486605,0.940474,1.13242,0.638152,0.596723,1.21901,1.57357,0.382312,0.356064,0.72908,0.940347,0.00,0.00,0.00,0.00,21.3473,19.8775,40.7049,52.4992,4.21873,3.79084,7.63009,9.66438,2.00983,1.82317,3.68002,4.67913,4.10867,3.61051,7.14147,8.92322,0.00,0.00,0.00,0.00,1.75145,1.48093,2.90499,3.5617,0.480297,0.447137,0.915723,1.18104,0.484392,0.39454,0.758632,0.907698,0.0415808,0.0387359,0.0793006,0.102312,0.40328,0.330872,0.632978,0.75674
947,7.906,0.00,0.00,0.0605393,0.135446,0.120666,0.136522,0.146183,0.323473,0.289268,0.323091,0.302654,0.654378,0.590032,0.638385,0.00,0.00,0.00,0.00,13.1491,137.911,69.0646,78.5432,11.1287,100.312,51.6048,58.7031,7.28245,73.8486,37.2547,42.496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88102,12.07,7.94982,9.05883,3.7642,13.1735,9.06408,9.4224,1.69065,6.00088,4.2388,4.71692,0.00466501,0.0125961,0.0106156,0.0146967,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21838,0.98983,1.92384,2.28651,1.2123,1.12543,2.3276,2.97739,0.767627,0.711981,1.47346,1.88423,0.00,0.00,0.00,0.00,42.8873,39.7703,82.3111,105.258,8.3632,7.45449,15.1482,18.9917,4.01585,3.62039,7.37967,9.29197,7.36523,6.30482,12.5562,15.4082,0.00,0.00,0.00,0.00,3.58923,3.00542,5.93519,7.19136,0.965466,0.895126,1.85273,2.36924,0.99022,0.79865,1.5451,1.82598,0.0827868,0.0768588,0.159147,0.203434,0.762341,0.629357,1.23181,1.47819
948,7.83374,0.00,1.08936,0.0602876,0.140263,0.123221,0.146184,0.144496,0.332502,0.293175,0.343666,0.28721,0.643771,0.572823,0.649267,0.0793734,0.102702,0.09357,0.0820231,4.2973,29.9788,16.371,18.7252,5.29417,27.2184,16.0678,18.5793,2.74965,17.4841,9.84543,11.4517,0.619942,3.81042,2.11262,2.32739,0.00,0.00,0.00,0.00,2.44705,6.78574,5.40063,6.41585,2.92708,7.39073,5.83887,5.9888,1.44691,3.71543,3.08155,3.55083,0.0110516,0.0294451,0.0247808,0.0344088,0.990388,3.62086,2.50186,2.61816,0.00,0.00,0.00,0.00,0.569046,0.43385,0.807326,0.921567,0.450623,0.421006,0.861616,1.11095,0.275157,0.256322,0.525511,0.677133,0.00,0.00,0.00,0.00,15.368,14.3131,29.3472,37.8139,3.31848,2.88643,5.73479,7.13301,1.55631,1.37465,2.74613,3.44059,3.37787,2.79518,5.3972,6.51238,0.00,0.00,0.00,0.00,1.58895,1.25868,2.39266,2.81054,0.345852,0.322049,0.660376,0.850883,0.467923,0.353913,0.654977,0.742024,0.0299041,0.0278594,0.0571127,0.0736152,0.356746,0.276559,0.516314,0.594387
949,8.63611,0.00,1.13187,3.342,2.46504,2.13078,1.62303,7.46496,5.56076,4.81185,3.68308,12.4675,9.50476,8.24928,6.37011,2.94321,1.98701,1.72507,1.17088,22.7154,182.487,95.2133,108.418,24.7197,145.145,80.3826,91.7848,13.6114,98.9024,53.0793,61.2358,2.17628,14.8596,7.8407,8.59828,0.00,0.00,0.00,0.00,9.85806,29.8677,22.6097,26.9174,12.1263,33.5278,24.5279,25.0434,20.675,25.1691,20.7239,19.9364,0.0534488,0.143709,0.120192,0.16696,3.11499,13.1868,8.5727,9.04077,0.00,0.00,0.00,0.00,53.5838,7.29758,27.9435,16.7597,18.9289,3.35071,11.3175,8.23836,7.68389,1.63726,5.07023,4.09051,0.00,0.00,0.00,0.00,69.6893,50.5821,107.361,133.312,10.9626,9.53781,18.8585,23.7415,5.18908,4.58839,9.11468,11.5616,10.2026,8.34719,16.0466,19.4837,0.00,0.00,0.00,0.00,12.0177,4.92031,11.2083,11.2071,1.17923,1.09427,2.22622,2.8978,1.51094,1.15141,2.13094,2.45719,0.10391,0.0964504,0.196077,0.255373,1.10574,0.869691,1.63911,1.93767
950,7.55133,0.00,0.146993,0.0464349,0.108377,0.0945902,0.112953,0.106673,0.246133,0.215622,0.254129,0.211121,0.474894,0.419708,0.478387,0.037231,0.0522234,0.0475692,0.0425785,6.07749,56.5294,28.6622,32.8013,5.88691,42.6293,22.5953,25.931,3.37336,29.187,15.0589,17.3725,0.601487,4.92678,2.52861,2.82276,0.00,0.00,0.00,0.00,1.99287,6.90114,4.90164,5.80526,2.34233,7.21023,5.0823,5.27687,1.11184,3.40083,2.57172,2.97739,0.00586139,0.0157311,0.0131483,0.018287,0.743081,3.89902,2.34008,2.52818,0.00,0.00,0.00,0.00,2.43016,1.55945,2.58542,2.5138,0.610827,0.56745,1.14432,1.50056,0.388696,0.360886,0.727892,0.954532,0.00,0.00,0.00,0.00,21.7214,20.1628,40.6718,53.3341,8.1748,6.08094,11.0352,12.5586,3.52781,2.70787,4.98806,5.81448,10.6012,7.18613,12.3618,12.8676,0.00,0.00,0.00,0.00,5.97865,3.95107,6.68558,6.75564,0.489093,0.4539,0.915688,1.20074,2.05111,1.31177,2.16363,2.08517,0.0425742,0.0394939,0.0796889,0.104494,1.32472,0.866302,1.45534,1.451
951,8.26723,0.00,0.00,4.0949,2.77094,2.39996,1.69006,8.926,6.08579,5.27475,3.73275,14.8544,10.2954,8.94184,6.38326,0.00,0.00,0.00,0.00,32.3031,331.333,165.874,188.653,27.5996,238.004,122.055,138.517,17.8443,175.967,88.8395,101.407,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.05496,29.2707,19.2558,22.1971,9.14934,32.3625,21.5004,22.2454,22.1615,25.6075,19.8502,17.7186,0.0127918,0.0341817,0.0287161,0.0398942,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.9433,8.34663,30.2901,18.8069,19.9725,4.02968,12.8892,10.0491,8.27733,2.07206,6.03833,5.24871,0.00,0.00,0.00,0.00,96.3819,74.4954,157.577,196.925,17.4879,14.8127,29.2798,36.1629,8.18138,7.06024,14.0486,17.5141,17.0983,13.438,25.5973,30.1464,0.00,0.00,0.00,0.00,15.9068,7.65034,16.3109,16.7365,1.77346,1.63242,3.35298,4.32934,2.68536,1.96344,3.58423,3.97892,0.153066,0.14105,0.289578,0.374055,1.91374,1.44651,2.69689,3.08424
